grade,time,drug,year,attitude,estimate,LBYear1,LBYear2
10th Grade,Once or Twice,Cocaine,2007,Risk,49.508772296,2019,
10th Grade,Once or Twice,Cocaine,2008,Risk,49.798065595,2019,
10th Grade,Once or Twice,Cocaine,2009,Risk,50.841751827,2019,
10th Grade,Once or Twice,Cocaine,2010,Risk,52.911452123,2019,
10th Grade,Once or Twice,Cocaine,2011,Risk,52.961080706,2019,
10th Grade,Once or Twice,Cocaine,2012,Risk,53.420940563,2019,
10th Grade,Once or Twice,Cocaine,2013,Risk,54.452756671,2019,
10th Grade,Once or Twice,Cocaine,2014,Risk,54.062417248,2019,
10th Grade,Once or Twice,Cocaine,2015,Risk,54.792480859,2019,
10th Grade,Once or Twice,Cocaine,2016,Risk,54.583715486,2019,
10th Grade,Once or Twice,Cocaine,2017,Risk,52.529341124,2019,
10th Grade,Once or Twice,Cocaine,2018,Risk,52.603122187,2019,
10th Grade,Once or Twice,Cocaine,2019,Risk,53.674245006,2019,
10th Grade,Once or Twice,Cocaine,2021,Risk,55.349085632,2019,
10th Grade,Once or Twice,Cocaine,2022,Risk,56.730865867,2019,
12th Grade,Once or Twice,Cocaine,1976,Risk,39.073954094,2019,
12th Grade,Once or Twice,Cocaine,1977,Risk,35.555167362,2019,
12th Grade,Once or Twice,Cocaine,1978,Risk,33.262133523,2019,
12th Grade,Once or Twice,Cocaine,1979,Risk,31.501330209,2019,
12th Grade,Once or Twice,Cocaine,1980,Risk,31.303282244,2019,
12th Grade,Once or Twice,Cocaine,1981,Risk,32.114553357,2019,
12th Grade,Once or Twice,Cocaine,1982,Risk,32.752437148,2019,
12th Grade,Once or Twice,Cocaine,1983,Risk,32.988889666,2019,
12th Grade,Once or Twice,Cocaine,1984,Risk,35.674800067,2019,
12th Grade,Once or Twice,Cocaine,1985,Risk,34.022512566,2019,
12th Grade,Once or Twice,Cocaine,1986,Risk,33.482920035,2019,
12th Grade,Once or Twice,Cocaine,1987,Risk,47.927244054,2019,
12th Grade,Once or Twice,Cocaine,1988,Risk,51.248783317,2019,
12th Grade,Once or Twice,Cocaine,1989,Risk,54.876807332,2019,
12th Grade,Once or Twice,Cocaine,1990,Risk,59.434459838,2019,
12th Grade,Once or Twice,Cocaine,1991,Risk,59.369056138,2019,
12th Grade,Once or Twice,Cocaine,1992,Risk,56.766416866,2019,
12th Grade,Once or Twice,Cocaine,1993,Risk,57.607131194,2019,
12th Grade,Once or Twice,Cocaine,1994,Risk,57.245517573,2019,
12th Grade,Once or Twice,Cocaine,1995,Risk,53.748125874,2019,
12th Grade,Once or Twice,Cocaine,1996,Risk,54.238345012,2019,
12th Grade,Once or Twice,Cocaine,1997,Risk,53.575219543,2019,
12th Grade,Once or Twice,Cocaine,1998,Risk,54.560546346,2019,
12th Grade,Once or Twice,Cocaine,1999,Risk,52.067507249,2019,
12th Grade,Once or Twice,Cocaine,2000,Risk,51.124889142,2019,
12th Grade,Once or Twice,Cocaine,2001,Risk,50.712680063,2019,
12th Grade,Once or Twice,Cocaine,2002,Risk,51.145802289,2019,
12th Grade,Once or Twice,Cocaine,2003,Risk,50.99284169,2019,
12th Grade,Once or Twice,Cocaine,2004,Risk,50.713609231,2019,
12th Grade,Once or Twice,Cocaine,2005,Risk,50.506842128,2019,
12th Grade,Once or Twice,Cocaine,2006,Risk,52.513470106,2019,
12th Grade,Once or Twice,Cocaine,2007,Risk,51.340513661,2019,
12th Grade,Once or Twice,Cocaine,2008,Risk,50.344968893,2019,
12th Grade,Once or Twice,Cocaine,2009,Risk,53.138424019,2019,
12th Grade,Once or Twice,Cocaine,2010,Risk,52.754962427,2019,
12th Grade,Once or Twice,Cocaine,2011,Risk,54.044673096,2019,
12th Grade,Once or Twice,Cocaine,2012,Risk,51.634591787,2019,
12th Grade,Once or Twice,Cocaine,2013,Risk,54.411015482,2019,
12th Grade,Once or Twice,Cocaine,2014,Risk,53.667488071,2019,
12th Grade,Once or Twice,Cocaine,2015,Risk,51.122233761,2019,
12th Grade,Once or Twice,Cocaine,2016,Risk,52.668375306,2019,
12th Grade,Once or Twice,Cocaine,2017,Risk,49.473925244,2019,
12th Grade,Once or Twice,Cocaine,2018,Risk,47.857746674,2019,
12th Grade,Once or Twice,Cocaine,2019,Risk,47.747370856,2019,
12th Grade,Once or Twice,Cocaine,2021,Risk,52.00294144,2019,
12th Grade,Once or Twice,Cocaine,2022,Risk,48.132142568,2019,
8th Grade,Occasionally,Cocaine,1991,Risk,77.03805476,2019,
8th Grade,Occasionally,Cocaine,1992,Risk,74.318692755,2019,
8th Grade,Occasionally,Cocaine,1993,Risk,71.756693245,2019,
8th Grade,Occasionally,Cocaine,1994,Risk,69.120334677,2019,
8th Grade,Occasionally,Cocaine,1995,Risk,66.406146835,2019,
8th Grade,Occasionally,Cocaine,1996,Risk,65.726042067,2019,
8th Grade,Occasionally,Cocaine,1997,Risk,65.805112835,2019,
8th Grade,Occasionally,Cocaine,1998,Risk,65.240897304,2019,
8th Grade,Occasionally,Cocaine,1999,Risk,65.378791909,2019,
8th Grade,Occasionally,Cocaine,2000,Risk,65.46568593,2019,
8th Grade,Occasionally,Cocaine,2001,Risk,65.816667567,2019,
8th Grade,Occasionally,Cocaine,2002,Risk,64.915550555,2019,
8th Grade,Occasionally,Cocaine,2003,Risk,65.832178246,2019,
8th Grade,Occasionally,Cocaine,2004,Risk,66.015205849,2019,
8th Grade,Occasionally,Cocaine,2005,Risk,65.33830863,2019,
8th Grade,Occasionally,Cocaine,2006,Risk,64.0106215,2019,
8th Grade,Occasionally,Cocaine,2007,Risk,64.18158125,2019,
8th Grade,Occasionally,Cocaine,2008,Risk,62.712052989,2019,
8th Grade,Occasionally,Cocaine,2009,Risk,62.298560505,2019,
8th Grade,Occasionally,Cocaine,2010,Risk,64.191797385,2019,
8th Grade,Occasionally,Cocaine,2011,Risk,63.529795756,2019,
8th Grade,Occasionally,Cocaine,2012,Risk,63.295340715,2019,
8th Grade,Occasionally,Cocaine,2013,Risk,62.656564256,2019,
8th Grade,Occasionally,Cocaine,2014,Risk,61.781928796,2019,
8th Grade,Occasionally,Cocaine,2015,Risk,61.626688127,2019,
8th Grade,Occasionally,Cocaine,2016,Risk,62.378182386,2019,
8th Grade,Occasionally,Cocaine,2017,Risk,62.684387851,2019,
8th Grade,Occasionally,Cocaine,2018,Risk,60.995693832,2019,
8th Grade,Occasionally,Cocaine,2019,Risk,60.843486243,2019,
8th Grade,Occasionally,Cocaine,2021,Risk,63.938023883,2019,
8th Grade,Occasionally,Cocaine,2022,Risk,59.50064496,2019,
10th Grade,Occasionally,Cocaine,1991,Risk,82.177026525,2019,
10th Grade,Occasionally,Cocaine,1992,Risk,80.110579252,2019,
10th Grade,Occasionally,Cocaine,1993,Risk,79.098734007,2019,
10th Grade,Occasionally,Cocaine,1994,Risk,77.809452847,2019,
10th Grade,Occasionally,Cocaine,1995,Risk,75.634687611,2019,
10th Grade,Occasionally,Cocaine,1996,Risk,74.961997768,2019,
10th Grade,Occasionally,Cocaine,1997,Risk,73.922362855,2019,
10th Grade,Occasionally,Cocaine,1998,Risk,71.761612547,2019,
10th Grade,Occasionally,Cocaine,1999,Risk,73.561798204,2019,
10th Grade,Occasionally,Cocaine,2000,Risk,70.860247024,2019,
10th Grade,Occasionally,Cocaine,2001,Risk,72.336471963,2019,
10th Grade,Occasionally,Cocaine,2002,Risk,70.953778114,2019,
10th Grade,Occasionally,Cocaine,2003,Risk,71.396924679,2019,
10th Grade,Occasionally,Cocaine,2004,Risk,72.202972447,2019,
10th Grade,Occasionally,Cocaine,2005,Risk,72.434637079,2019,
10th Grade,Occasionally,Cocaine,2006,Risk,71.302289213,2019,
10th Grade,Occasionally,Cocaine,2007,Risk,70.859789696,2019,
10th Grade,Occasionally,Cocaine,2008,Risk,71.114106583,2019,
10th Grade,Occasionally,Cocaine,2009,Risk,70.959289433,2019,
10th Grade,Occasionally,Cocaine,2010,Risk,72.233693146,2019,
10th Grade,Occasionally,Cocaine,2011,Risk,71.958366692,2019,
10th Grade,Occasionally,Cocaine,2012,Risk,72.559498461,2019,
10th Grade,Occasionally,Cocaine,2013,Risk,72.836229753,2019,
10th Grade,Occasionally,Cocaine,2014,Risk,71.747248154,2019,
10th Grade,Occasionally,Cocaine,2015,Risk,72.629502356,2019,
10th Grade,Occasionally,Cocaine,2016,Risk,70.926048421,2019,
10th Grade,Occasionally,Cocaine,2017,Risk,70.448023117,2019,
10th Grade,Occasionally,Cocaine,2018,Risk,70.228184968,2019,
10th Grade,Occasionally,Cocaine,2019,Risk,70.966695989,2019,
10th Grade,Occasionally,Cocaine,2021,Risk,74.028773357,2019,
10th Grade,Occasionally,Cocaine,2022,Risk,70.191019452,2019,
12th Grade,Occasionally,Cocaine,1986,Risk,54.212268534,2019,
12th Grade,Occasionally,Cocaine,1987,Risk,66.762937962,2019,
12th Grade,Occasionally,Cocaine,1988,Risk,69.160246736,2019,
12th Grade,Occasionally,Cocaine,1989,Risk,71.840936762,2019,
12th Grade,Occasionally,Cocaine,1990,Risk,73.911265465,2019,
12th Grade,Occasionally,Cocaine,1991,Risk,75.480463387,2019,
12th Grade,Occasionally,Cocaine,1992,Risk,75.086576931,2019,
12th Grade,Occasionally,Cocaine,1993,Risk,73.332399622,2019,
12th Grade,Occasionally,Cocaine,1994,Risk,73.685497812,2019,
12th Grade,Occasionally,Cocaine,1995,Risk,70.780890621,2019,
12th Grade,Occasionally,Cocaine,1996,Risk,72.092235123,2019,
12th Grade,Occasionally,Cocaine,1997,Risk,72.354639248,2019,
12th Grade,Occasionally,Cocaine,1998,Risk,70.117365911,2019,
12th Grade,Occasionally,Cocaine,1999,Risk,70.090581006,2019,
12th Grade,Occasionally,Cocaine,2000,Risk,69.477102415,2019,
12th Grade,Occasionally,Cocaine,2001,Risk,69.912995972,2019,
12th Grade,Occasionally,Cocaine,2002,Risk,68.31338999,2019,
12th Grade,Occasionally,Cocaine,2003,Risk,69.129990768,2019,
12th Grade,Occasionally,Cocaine,2004,Risk,67.162879769,2019,
12th Grade,Occasionally,Cocaine,2005,Risk,66.671328617,2019,
12th Grade,Occasionally,Cocaine,2006,Risk,69.780867246,2019,
12th Grade,Occasionally,Cocaine,2007,Risk,68.755544466,2019,
12th Grade,Occasionally,Cocaine,2008,Risk,67.058514506,2019,
12th Grade,Occasionally,Cocaine,2009,Risk,71.409140096,2019,
12th Grade,Occasionally,Cocaine,2010,Risk,67.805024923,2019,
12th Grade,Occasionally,Cocaine,2011,Risk,69.663920491,2019,
12th Grade,Occasionally,Cocaine,2012,Risk,68.979726881,2019,
12th Grade,Occasionally,Cocaine,2013,Risk,70.183980038,2019,
12th Grade,Occasionally,Cocaine,2014,Risk,68.117406152,2019,
12th Grade,Occasionally,Cocaine,2015,Risk,66.260278986,2019,
12th Grade,Occasionally,Cocaine,2016,Risk,68.563874399,2019,
12th Grade,Occasionally,Cocaine,2017,Risk,64.600367768,2019,
12th Grade,Occasionally,Cocaine,2018,Risk,62.149616471,2019,
12th Grade,Occasionally,Cocaine,2019,Risk,64.160605322,2019,
12th Grade,Occasionally,Cocaine,2021,Risk,60.244424536,2019,
12th Grade,Occasionally,Cocaine,2022,Risk,65.13474269,2019,
12th Grade,Regularly,Cocaine,1976,Risk,72.305413821,2019,
12th Grade,Regularly,Cocaine,1977,Risk,68.206953494,2019,
12th Grade,Regularly,Cocaine,1978,Risk,68.18048255,2019,
12th Grade,Regularly,Cocaine,1979,Risk,69.544344715,2019,
12th Grade,Regularly,Cocaine,1980,Risk,69.265720714,2019,
12th Grade,Regularly,Cocaine,1981,Risk,71.238698533,2019,
12th Grade,Regularly,Cocaine,1982,Risk,73.008364127,2019,
12th Grade,Regularly,Cocaine,1983,Risk,74.27165004,2019,
12th Grade,Regularly,Cocaine,1984,Risk,78.84223574,2019,
12th Grade,Regularly,Cocaine,1985,Risk,78.954890382,2019,
12th Grade,Regularly,Cocaine,1986,Risk,82.213786449,2019,
12th Grade,Regularly,Cocaine,1987,Risk,88.533144603,2019,
12th Grade,Regularly,Cocaine,1988,Risk,89.203628057,2019,
12th Grade,Regularly,Cocaine,1989,Risk,90.214286024,2019,
12th Grade,Regularly,Cocaine,1990,Risk,91.124719678,2019,
12th Grade,Regularly,Cocaine,1991,Risk,90.399390514,2019,
12th Grade,Regularly,Cocaine,1992,Risk,90.232507064,2019,
12th Grade,Regularly,Cocaine,1993,Risk,90.062406767,2019,
12th Grade,Regularly,Cocaine,1994,Risk,89.271616953,2019,
12th Grade,Regularly,Cocaine,1995,Risk,87.856500844,2019,
12th Grade,Regularly,Cocaine,1996,Risk,88.342038904,2019,
12th Grade,Regularly,Cocaine,1997,Risk,87.05839187,2019,
12th Grade,Regularly,Cocaine,1998,Risk,86.310402633,2019,
12th Grade,Regularly,Cocaine,1999,Risk,85.801178566,2019,
12th Grade,Regularly,Cocaine,2000,Risk,86.175934239,2019,
12th Grade,Regularly,Cocaine,2001,Risk,84.05794464,2019,
12th Grade,Regularly,Cocaine,2002,Risk,84.474312564,2019,
12th Grade,Regularly,Cocaine,2003,Risk,83.043427264,2019,
12th Grade,Regularly,Cocaine,2004,Risk,82.207847074,2019,
12th Grade,Regularly,Cocaine,2005,Risk,82.830776978,2019,
12th Grade,Regularly,Cocaine,2006,Risk,84.615251281,2019,
12th Grade,Regularly,Cocaine,2007,Risk,83.281131504,2019,
12th Grade,Regularly,Cocaine,2008,Risk,80.729675573,2019,
12th Grade,Regularly,Cocaine,2009,Risk,84.445510339,2019,
12th Grade,Regularly,Cocaine,2010,Risk,81.717937698,2019,
12th Grade,Regularly,Cocaine,2011,Risk,83.789743165,2019,
12th Grade,Regularly,Cocaine,2012,Risk,82.605734381,2019,
12th Grade,Regularly,Cocaine,2013,Risk,83.250634785,2019,
12th Grade,Regularly,Cocaine,2014,Risk,80.634077577,2019,
12th Grade,Regularly,Cocaine,2015,Risk,79.077571805,2019,
12th Grade,Regularly,Cocaine,2016,Risk,78.348662393,2019,
12th Grade,Regularly,Cocaine,2017,Risk,74.876391733,2019,
12th Grade,Regularly,Cocaine,2018,Risk,75.173945789,2019,
12th Grade,Regularly,Cocaine,2019,Risk,74.658968211,2019,
12th Grade,Regularly,Cocaine,2021,Risk,72.235831927,2019,
12th Grade,Regularly,Cocaine,2022,Risk,77.149764679,2019,
8th Grade,Once or Twice,Cocaine Powder,1991,Risk,55.500434176,2019,
8th Grade,Once or Twice,Cocaine Powder,1992,Risk,54.082278078,2019,
8th Grade,Once or Twice,Cocaine Powder,1993,Risk,50.704549287,2019,
8th Grade,Once or Twice,Cocaine Powder,1994,Risk,48.397939508,2019,
8th Grade,Once or Twice,Cocaine Powder,1995,Risk,44.922590682,2019,
8th Grade,Once or Twice,Cocaine Powder,1996,Risk,45.152424297,2019,
8th Grade,Once or Twice,Cocaine Powder,1997,Risk,44.971166143,2019,
8th Grade,Once or Twice,Cocaine Powder,1998,Risk,43.954946983,2019,
8th Grade,Once or Twice,Cocaine Powder,1999,Risk,43.315315656,2019,
8th Grade,Once or Twice,Cocaine Powder,2000,Risk,43.299882338,2019,
8th Grade,Once or Twice,Cocaine Powder,2001,Risk,43.856637772,2019,
8th Grade,Once or Twice,Cocaine Powder,2002,Risk,43.159232466,2019,
8th Grade,Once or Twice,Cocaine Powder,2003,Risk,43.710669655,2019,
8th Grade,Once or Twice,Cocaine Powder,2004,Risk,44.384063228,2019,
8th Grade,Once or Twice,Cocaine Powder,2005,Risk,44.188980701,2019,
8th Grade,Once or Twice,Cocaine Powder,2006,Risk,43.472979126,2019,
8th Grade,Once or Twice,Cocaine Powder,2007,Risk,43.53395573,2019,
8th Grade,Once or Twice,Cocaine Powder,2008,Risk,42.670315475,2019,
8th Grade,Once or Twice,Cocaine Powder,2009,Risk,42.343918729,2019,
8th Grade,Once or Twice,Cocaine Powder,2010,Risk,45.669361732,2019,
8th Grade,Once or Twice,Cocaine Powder,2011,Risk,43.281116846,2019,
8th Grade,Once or Twice,Cocaine Powder,2012,Risk,42.776751853,2019,
8th Grade,Once or Twice,Cocaine Powder,2013,Risk,43.502332094,2019,
8th Grade,Once or Twice,Cocaine Powder,2014,Risk,43.917065889,2019,
8th Grade,Once or Twice,Cocaine Powder,2015,Risk,44.348060018,2019,
8th Grade,Once or Twice,Cocaine Powder,2016,Risk,44.277656306,2019,
8th Grade,Once or Twice,Cocaine Powder,2017,Risk,44.548077761,2019,
8th Grade,Once or Twice,Cocaine Powder,2018,Risk,42.573342325,2019,
8th Grade,Once or Twice,Cocaine Powder,2019,Risk,43.448914244,2019,
10th Grade,Once or Twice,Cocaine Powder,1991,Risk,59.14151122,2019,
10th Grade,Once or Twice,Cocaine Powder,1992,Risk,59.234353007,2019,
10th Grade,Once or Twice,Cocaine Powder,1993,Risk,57.467265985,2019,
10th Grade,Once or Twice,Cocaine Powder,1994,Risk,56.3658667,2019,
10th Grade,Once or Twice,Cocaine Powder,1995,Risk,53.532749357,2019,
10th Grade,Once or Twice,Cocaine Powder,1996,Risk,53.648485116,2019,
10th Grade,Once or Twice,Cocaine Powder,1997,Risk,52.174251776,2019,
10th Grade,Once or Twice,Cocaine Powder,1998,Risk,50.935370124,2019,
10th Grade,Once or Twice,Cocaine Powder,1999,Risk,51.620101648,2019,
10th Grade,Once or Twice,Cocaine Powder,2000,Risk,48.811907745,2019,
10th Grade,Once or Twice,Cocaine Powder,2001,Risk,50.551071449,2019,
10th Grade,Once or Twice,Cocaine Powder,2002,Risk,51.293447814,2019,
10th Grade,Once or Twice,Cocaine Powder,2003,Risk,51.747774998,2019,
10th Grade,Once or Twice,Cocaine Powder,2004,Risk,50.661300719,2019,
10th Grade,Once or Twice,Cocaine Powder,2005,Risk,51.34103496,2019,
10th Grade,Once or Twice,Cocaine Powder,2006,Risk,50.20844739,2019,
10th Grade,Once or Twice,Cocaine Powder,2007,Risk,49.508772296,2019,
10th Grade,Once or Twice,Cocaine Powder,2008,Risk,49.798065595,2019,
10th Grade,Once or Twice,Cocaine Powder,2009,Risk,50.841751827,2019,
10th Grade,Once or Twice,Cocaine Powder,2010,Risk,52.911452123,2019,
10th Grade,Once or Twice,Cocaine Powder,2011,Risk,52.961080706,2019,
10th Grade,Once or Twice,Cocaine Powder,2012,Risk,53.420940563,2019,
10th Grade,Once or Twice,Cocaine Powder,2013,Risk,54.452756671,2019,
10th Grade,Once or Twice,Cocaine Powder,2014,Risk,54.062417248,2019,
10th Grade,Once or Twice,Cocaine Powder,2015,Risk,54.792480859,2019,
10th Grade,Once or Twice,Cocaine Powder,2016,Risk,54.583715486,2019,
10th Grade,Once or Twice,Cocaine Powder,2017,Risk,52.529341124,2019,
10th Grade,Once or Twice,Cocaine Powder,2018,Risk,52.603122187,2019,
10th Grade,Once or Twice,Cocaine Powder,2019,Risk,53.674245006,2019,
12th Grade,Once or Twice,Cocaine Powder,1987,Risk,45.267510249,2019,
12th Grade,Once or Twice,Cocaine Powder,1988,Risk,51.689847687,2019,
12th Grade,Once or Twice,Cocaine Powder,1989,Risk,53.76399846,2019,
12th Grade,Once or Twice,Cocaine Powder,1990,Risk,53.856743643,2019,
12th Grade,Once or Twice,Cocaine Powder,1991,Risk,53.606373018,2019,
12th Grade,Once or Twice,Cocaine Powder,1992,Risk,57.126981037,2019,
12th Grade,Once or Twice,Cocaine Powder,1993,Risk,53.198271337,2019,
12th Grade,Once or Twice,Cocaine Powder,1994,Risk,55.447779492,2019,
12th Grade,Once or Twice,Cocaine Powder,1995,Risk,51.976314212,2019,
12th Grade,Once or Twice,Cocaine Powder,1996,Risk,53.1665513,2019,
12th Grade,Once or Twice,Cocaine Powder,1997,Risk,51.446907702,2019,
12th Grade,Once or Twice,Cocaine Powder,1998,Risk,48.514209106,2019,
12th Grade,Once or Twice,Cocaine Powder,1999,Risk,46.06866712,2019,
12th Grade,Once or Twice,Cocaine Powder,2000,Risk,46.989112724,2019,
12th Grade,Once or Twice,Cocaine Powder,2001,Risk,48.984440329,2019,
12th Grade,Once or Twice,Cocaine Powder,2002,Risk,49.482894658,2019,
12th Grade,Once or Twice,Cocaine Powder,2003,Risk,46.242376308,2019,
12th Grade,Once or Twice,Cocaine Powder,2004,Risk,45.361033532,2019,
12th Grade,Once or Twice,Cocaine Powder,2005,Risk,46.236900648,2019,
12th Grade,Once or Twice,Cocaine Powder,2006,Risk,45.787959589,2019,
12th Grade,Once or Twice,Cocaine Powder,2007,Risk,45.104318592,2019,
12th Grade,Once or Twice,Cocaine Powder,2008,Risk,45.121185691,2019,
12th Grade,Once or Twice,Cocaine Powder,2009,Risk,46.516831358,2019,
12th Grade,Once or Twice,Cocaine Powder,2010,Risk,48.158120205,2019,
12th Grade,Once or Twice,Cocaine Powder,2011,Risk,48.033084852,2019,
12th Grade,Once or Twice,Cocaine Powder,2012,Risk,48.073197168,2019,
12th Grade,Once or Twice,Cocaine Powder,2013,Risk,49.889041541,2019,
12th Grade,Once or Twice,Cocaine Powder,2014,Risk,49.921941934,2019,
12th Grade,Once or Twice,Cocaine Powder,2015,Risk,49.040273628,2019,
12th Grade,Once or Twice,Cocaine Powder,2016,Risk,49.278657872,2019,
12th Grade,Once or Twice,Cocaine Powder,2017,Risk,45.135407965,2019,
12th Grade,Once or Twice,Cocaine Powder,2018,Risk,44.903461329,2019,
12th Grade,Once or Twice,Cocaine Powder,2019,Risk,45.432019988,2019,
8th Grade,Occasionally,Cocaine Powder,1991,Risk,77.03805476,2019,
8th Grade,Occasionally,Cocaine Powder,1992,Risk,74.318692755,2019,
8th Grade,Occasionally,Cocaine Powder,1993,Risk,71.756693245,2019,
8th Grade,Occasionally,Cocaine Powder,1994,Risk,69.120334677,2019,
8th Grade,Occasionally,Cocaine Powder,1995,Risk,66.406146835,2019,
8th Grade,Occasionally,Cocaine Powder,1996,Risk,65.726042067,2019,
8th Grade,Occasionally,Cocaine Powder,1997,Risk,65.805112835,2019,
8th Grade,Occasionally,Cocaine Powder,1998,Risk,65.240897304,2019,
8th Grade,Occasionally,Cocaine Powder,1999,Risk,65.378791909,2019,
8th Grade,Occasionally,Cocaine Powder,2000,Risk,65.46568593,2019,
8th Grade,Occasionally,Cocaine Powder,2001,Risk,65.816667567,2019,
8th Grade,Occasionally,Cocaine Powder,2002,Risk,64.915550555,2019,
8th Grade,Occasionally,Cocaine Powder,2003,Risk,65.832178246,2019,
8th Grade,Occasionally,Cocaine Powder,2004,Risk,66.015205849,2019,
8th Grade,Occasionally,Cocaine Powder,2005,Risk,65.33830863,2019,
8th Grade,Occasionally,Cocaine Powder,2006,Risk,64.0106215,2019,
8th Grade,Occasionally,Cocaine Powder,2007,Risk,64.18158125,2019,
8th Grade,Occasionally,Cocaine Powder,2008,Risk,62.712052989,2019,
8th Grade,Occasionally,Cocaine Powder,2009,Risk,62.298560505,2019,
8th Grade,Occasionally,Cocaine Powder,2010,Risk,64.191797385,2019,
8th Grade,Occasionally,Cocaine Powder,2011,Risk,63.529795756,2019,
8th Grade,Occasionally,Cocaine Powder,2012,Risk,63.295340715,2019,
8th Grade,Occasionally,Cocaine Powder,2013,Risk,62.656564256,2019,
8th Grade,Occasionally,Cocaine Powder,2014,Risk,61.781928796,2019,
8th Grade,Occasionally,Cocaine Powder,2015,Risk,61.626688127,2019,
8th Grade,Occasionally,Cocaine Powder,2016,Risk,62.378182386,2019,
8th Grade,Occasionally,Cocaine Powder,2017,Risk,62.684387851,2019,
8th Grade,Occasionally,Cocaine Powder,2018,Risk,60.995693832,2019,
8th Grade,Occasionally,Cocaine Powder,2019,Risk,60.843486243,2019,
10th Grade,Occasionally,Cocaine Powder,1991,Risk,82.177026525,2019,
10th Grade,Occasionally,Cocaine Powder,1992,Risk,80.110579252,2019,
10th Grade,Occasionally,Cocaine Powder,1993,Risk,79.098734007,2019,
10th Grade,Occasionally,Cocaine Powder,1994,Risk,77.809452847,2019,
10th Grade,Occasionally,Cocaine Powder,1995,Risk,75.634687611,2019,
10th Grade,Occasionally,Cocaine Powder,1996,Risk,74.961997768,2019,
10th Grade,Occasionally,Cocaine Powder,1997,Risk,73.922362855,2019,
10th Grade,Occasionally,Cocaine Powder,1998,Risk,71.761612547,2019,
10th Grade,Occasionally,Cocaine Powder,1999,Risk,73.561798204,2019,
10th Grade,Occasionally,Cocaine Powder,2000,Risk,70.860247024,2019,
10th Grade,Occasionally,Cocaine Powder,2001,Risk,72.336471963,2019,
10th Grade,Occasionally,Cocaine Powder,2002,Risk,70.953778114,2019,
10th Grade,Occasionally,Cocaine Powder,2003,Risk,71.396924679,2019,
10th Grade,Occasionally,Cocaine Powder,2004,Risk,72.202972447,2019,
10th Grade,Occasionally,Cocaine Powder,2005,Risk,72.434637079,2019,
10th Grade,Occasionally,Cocaine Powder,2006,Risk,71.302289213,2019,
10th Grade,Occasionally,Cocaine Powder,2007,Risk,70.859789696,2019,
10th Grade,Occasionally,Cocaine Powder,2008,Risk,71.114106583,2019,
10th Grade,Occasionally,Cocaine Powder,2009,Risk,70.959289433,2019,
10th Grade,Occasionally,Cocaine Powder,2010,Risk,72.233693146,2019,
10th Grade,Occasionally,Cocaine Powder,2011,Risk,71.958366692,2019,
10th Grade,Occasionally,Cocaine Powder,2012,Risk,72.559498461,2019,
10th Grade,Occasionally,Cocaine Powder,2013,Risk,72.836229753,2019,
10th Grade,Occasionally,Cocaine Powder,2014,Risk,71.747248154,2019,
10th Grade,Occasionally,Cocaine Powder,2015,Risk,72.629502356,2019,
10th Grade,Occasionally,Cocaine Powder,2016,Risk,70.926048421,2019,
10th Grade,Occasionally,Cocaine Powder,2017,Risk,70.448023117,2019,
10th Grade,Occasionally,Cocaine Powder,2018,Risk,70.228184968,2019,
10th Grade,Occasionally,Cocaine Powder,2019,Risk,70.966695989,2019,
12th Grade,Occasionally,Cocaine Powder,1987,Risk,56.785831967,2019,
12th Grade,Occasionally,Cocaine Powder,1988,Risk,61.883734351,2019,
12th Grade,Occasionally,Cocaine Powder,1989,Risk,65.82185769,2019,
12th Grade,Occasionally,Cocaine Powder,1990,Risk,71.083829581,2019,
12th Grade,Occasionally,Cocaine Powder,1991,Risk,69.845539686,2019,
12th Grade,Occasionally,Cocaine Powder,1992,Risk,70.814302305,2019,
12th Grade,Occasionally,Cocaine Powder,1993,Risk,68.641803825,2019,
12th Grade,Occasionally,Cocaine Powder,1994,Risk,70.639999697,2019,
12th Grade,Occasionally,Cocaine Powder,1995,Risk,69.072002274,2019,
12th Grade,Occasionally,Cocaine Powder,1996,Risk,68.78111183,2019,
12th Grade,Occasionally,Cocaine Powder,1997,Risk,67.675425017,2019,
12th Grade,Occasionally,Cocaine Powder,1998,Risk,65.397505608,2019,
12th Grade,Occasionally,Cocaine Powder,1999,Risk,64.192034453,2019,
12th Grade,Occasionally,Cocaine Powder,2000,Risk,64.727440315,2019,
12th Grade,Occasionally,Cocaine Powder,2001,Risk,63.226149611,2019,
12th Grade,Occasionally,Cocaine Powder,2002,Risk,64.380436537,2019,
12th Grade,Occasionally,Cocaine Powder,2003,Risk,61.444020532,2019,
12th Grade,Occasionally,Cocaine Powder,2004,Risk,61.585298288,2019,
12th Grade,Occasionally,Cocaine Powder,2005,Risk,60.761141883,2019,
12th Grade,Occasionally,Cocaine Powder,2006,Risk,61.937815841,2019,
12th Grade,Occasionally,Cocaine Powder,2007,Risk,59.88258879,2019,
12th Grade,Occasionally,Cocaine Powder,2008,Risk,61.59671056,2019,
12th Grade,Occasionally,Cocaine Powder,2009,Risk,62.619990702,2019,
12th Grade,Occasionally,Cocaine Powder,2010,Risk,62.613237004,2019,
12th Grade,Occasionally,Cocaine Powder,2011,Risk,64.162686501,2019,
12th Grade,Occasionally,Cocaine Powder,2012,Risk,62.571461676,2019,
12th Grade,Occasionally,Cocaine Powder,2013,Risk,65.351579409,2019,
