drug1,estimate,time,drug,raceEthnicity,sex,age,year
ALC 5+ DRKS,31.94,5+ Drinks,Alcohol,HISPANIC,,Ages 19-30,2013
ALC 5+ DRKS,29.94,5+ Drinks,Alcohol,HISPANIC,,Ages 19-30,2014
ALC 5+ DRKS,24.92,5+ Drinks,Alcohol,HISPANIC,,Ages 19-30,2015
ALC 5+ DRKS,28.2,5+ Drinks,Alcohol,HISPANIC,,Ages 19-30,2016
ALC 5+ DRKS,29.38,5+ Drinks,Alcohol,HISPANIC,,Ages 19-30,2017
ALC 5+ DRKS,30.3,5+ Drinks,Alcohol,HISPANIC,,Ages 19-30,2018
ALC 5+ DRKS,28.8,5+ Drinks,Alcohol,HISPANIC,,Ages 19-30,2019
ALC 5+ DRKS,30.1,5+ Drinks,Alcohol,HISPANIC,,Ages 19-30,2020
ALC 5+ DRKS,29.1,5+ Drinks,Alcohol,HISPANIC,,Ages 19-30,2021
ALC 5+ DRKS,35.2,5+ Drinks,Alcohol,HISPANIC,,Ages 19-30,2022
ALC 5+ DRKS,26.2,5+ Drinks,Alcohol,HISPANIC,,Ages 19-30,2023
ALC 5+ DRKS,44.71,5+ Drinks,Alcohol,,MEN,Ages 19-30,1988
ALC 5+ DRKS,45.69,5+ Drinks,Alcohol,,MEN,Ages 19-30,1989
ALC 5+ DRKS,45.26,5+ Drinks,Alcohol,,MEN,Ages 19-30,1990
ALC 5+ DRKS,44.63,5+ Drinks,Alcohol,,MEN,Ages 19-30,1991
ALC 5+ DRKS,43.59,5+ Drinks,Alcohol,,MEN,Ages 19-30,1992
ALC 5+ DRKS,43.04,5+ Drinks,Alcohol,,MEN,Ages 19-30,1993
ALC 5+ DRKS,44.4,5+ Drinks,Alcohol,,MEN,Ages 19-30,1994
ALC 5+ DRKS,41.98,5+ Drinks,Alcohol,,MEN,Ages 19-30,1995
ALC 5+ DRKS,43.44,5+ Drinks,Alcohol,,MEN,Ages 19-30,1996
ALC 5+ DRKS,44.04,5+ Drinks,Alcohol,,MEN,Ages 19-30,1997
ALC 5+ DRKS,44.28,5+ Drinks,Alcohol,,MEN,Ages 19-30,1998
ALC 5+ DRKS,44.56,5+ Drinks,Alcohol,,MEN,Ages 19-30,1999
ALC 5+ DRKS,43.69,5+ Drinks,Alcohol,,MEN,Ages 19-30,2000
ALC 5+ DRKS,45.11,5+ Drinks,Alcohol,,MEN,Ages 19-30,2001
ALC 5+ DRKS,44.58,5+ Drinks,Alcohol,,MEN,Ages 19-30,2002
ALC 5+ DRKS,43.7,5+ Drinks,Alcohol,,MEN,Ages 19-30,2003
ALC 5+ DRKS,44.45,5+ Drinks,Alcohol,,MEN,Ages 19-30,2004
ALC 5+ DRKS,45.96,5+ Drinks,Alcohol,,MEN,Ages 19-30,2005
ALC 5+ DRKS,45.78,5+ Drinks,Alcohol,,MEN,Ages 19-30,2006
ALC 5+ DRKS,46.52,5+ Drinks,Alcohol,,MEN,Ages 19-30,2007
ALC 5+ DRKS,45,5+ Drinks,Alcohol,,MEN,Ages 19-30,2008
ALC 5+ DRKS,46.65,5+ Drinks,Alcohol,,MEN,Ages 19-30,2009
ALC 5+ DRKS,44,5+ Drinks,Alcohol,,MEN,Ages 19-30,2010
ALC 5+ DRKS,44.83,5+ Drinks,Alcohol,,MEN,Ages 19-30,2011
ALC 5+ DRKS,41.31,5+ Drinks,Alcohol,,MEN,Ages 19-30,2012
ALC 5+ DRKS,43.99,5+ Drinks,Alcohol,,MEN,Ages 19-30,2013
ALC 5+ DRKS,41.04,5+ Drinks,Alcohol,,MEN,Ages 19-30,2014
ALC 5+ DRKS,38.17,5+ Drinks,Alcohol,,MEN,Ages 19-30,2015
ALC 5+ DRKS,39,5+ Drinks,Alcohol,,MEN,Ages 19-30,2016
ALC 5+ DRKS,36.18,5+ Drinks,Alcohol,,MEN,Ages 19-30,2017
ALC 5+ DRKS,35.1,5+ Drinks,Alcohol,,MEN,Ages 19-30,2018
ALC 5+ DRKS,35.1,5+ Drinks,Alcohol,,MEN,Ages 19-30,2019
ALC 5+ DRKS,33.3,5+ Drinks,Alcohol,,MEN,Ages 19-30,2020
ALC 5+ DRKS,37.2,5+ Drinks,Alcohol,,MEN,Ages 19-30,2021
ALC 5+ DRKS,35.7,5+ Drinks,Alcohol,,MEN,Ages 19-30,2022
ALC 5+ DRKS,31.8,5+ Drinks,Alcohol,,MEN,Ages 19-30,2023
ALC 5+ DRKS,36.64,5+ Drinks,Alcohol,WHITE,,Ages 19-30,1988
ALC 5+ DRKS,36.92,5+ Drinks,Alcohol,WHITE,,Ages 19-30,1989
ALC 5+ DRKS,35.97,5+ Drinks,Alcohol,WHITE,,Ages 19-30,1990
ALC 5+ DRKS,36.04,5+ Drinks,Alcohol,WHITE,,Ages 19-30,1991
ALC 5+ DRKS,36.28,5+ Drinks,Alcohol,WHITE,,Ages 19-30,1992
ALC 5+ DRKS,36.15,5+ Drinks,Alcohol,WHITE,,Ages 19-30,1993
ALC 5+ DRKS,35.61,5+ Drinks,Alcohol,WHITE,,Ages 19-30,1994
ALC 5+ DRKS,34.63,5+ Drinks,Alcohol,WHITE,,Ages 19-30,1995
ALC 5+ DRKS,35.78,5+ Drinks,Alcohol,WHITE,,Ages 19-30,1996
ALC 5+ DRKS,36.76,5+ Drinks,Alcohol,WHITE,,Ages 19-30,1997
ALC 5+ DRKS,37.02,5+ Drinks,Alcohol,WHITE,,Ages 19-30,1998
ALC 5+ DRKS,38.07,5+ Drinks,Alcohol,WHITE,,Ages 19-30,1999
ALC 5+ DRKS,36.69,5+ Drinks,Alcohol,WHITE,,Ages 19-30,2000
ALC 5+ DRKS,38.33,5+ Drinks,Alcohol,WHITE,,Ages 19-30,2001
ALC 5+ DRKS,38.27,5+ Drinks,Alcohol,WHITE,,Ages 19-30,2002
ALC 5+ DRKS,38.75,5+ Drinks,Alcohol,WHITE,,Ages 19-30,2003
ALC 5+ DRKS,39.37,5+ Drinks,Alcohol,WHITE,,Ages 19-30,2004
ALC 5+ DRKS,40.8,5+ Drinks,Alcohol,WHITE,,Ages 19-30,2005
ALC 5+ DRKS,41.52,5+ Drinks,Alcohol,WHITE,,Ages 19-30,2006
ALC 5+ DRKS,41.85,5+ Drinks,Alcohol,WHITE,,Ages 19-30,2007
ALC 5+ DRKS,41.5,5+ Drinks,Alcohol,WHITE,,Ages 19-30,2008
ALC 5+ DRKS,41.05,5+ Drinks,Alcohol,WHITE,,Ages 19-30,2009
ALC 5+ DRKS,40.49,5+ Drinks,Alcohol,WHITE,,Ages 19-30,2010
ALC 5+ DRKS,40.69,5+ Drinks,Alcohol,WHITE,,Ages 19-30,2011
ALC 5+ DRKS,38.96,5+ Drinks,Alcohol,WHITE,,Ages 19-30,2012
ALC 5+ DRKS,38.84,5+ Drinks,Alcohol,WHITE,,Ages 19-30,2013
ALC 5+ DRKS,37.21,5+ Drinks,Alcohol,WHITE,,Ages 19-30,2014
ALC 5+ DRKS,35.16,5+ Drinks,Alcohol,WHITE,,Ages 19-30,2015
ALC 5+ DRKS,35.6,5+ Drinks,Alcohol,WHITE,,Ages 19-30,2016
ALC 5+ DRKS,34.76,5+ Drinks,Alcohol,WHITE,,Ages 19-30,2017
ALC 5+ DRKS,33.5,5+ Drinks,Alcohol,WHITE,,Ages 19-30,2018
ALC 5+ DRKS,34.4,5+ Drinks,Alcohol,WHITE,,Ages 19-30,2019
ALC 5+ DRKS,30.8,5+ Drinks,Alcohol,WHITE,,Ages 19-30,2020
ALC 5+ DRKS,34.6,5+ Drinks,Alcohol,WHITE,,Ages 19-30,2021
ALC 5+ DRKS,32.5,5+ Drinks,Alcohol,WHITE,,Ages 19-30,2022
ALC 5+ DRKS,29.6,5+ Drinks,Alcohol,WHITE,,Ages 19-30,2023
ALC 5+ DRKS,23.53,5+ Drinks,Alcohol,,WOMEN,Ages 19-30,1988
ALC 5+ DRKS,22.89,5+ Drinks,Alcohol,,WOMEN,Ages 19-30,1989
ALC 5+ DRKS,21.65,5+ Drinks,Alcohol,,WOMEN,Ages 19-30,1990
ALC 5+ DRKS,22.85,5+ Drinks,Alcohol,,WOMEN,Ages 19-30,1991
ALC 5+ DRKS,22.82,5+ Drinks,Alcohol,,WOMEN,Ages 19-30,1992
ALC 5+ DRKS,23.29,5+ Drinks,Alcohol,,WOMEN,Ages 19-30,1993
ALC 5+ DRKS,22.42,5+ Drinks,Alcohol,,WOMEN,Ages 19-30,1994
ALC 5+ DRKS,21.39,5+ Drinks,Alcohol,,WOMEN,Ages 19-30,1995
ALC 5+ DRKS,22.86,5+ Drinks,Alcohol,,WOMEN,Ages 19-30,1996
ALC 5+ DRKS,22.63,5+ Drinks,Alcohol,,WOMEN,Ages 19-30,1997
ALC 5+ DRKS,23.26,5+ Drinks,Alcohol,,WOMEN,Ages 19-30,1998
ALC 5+ DRKS,24.22,5+ Drinks,Alcohol,,WOMEN,Ages 19-30,1999
ALC 5+ DRKS,23.89,5+ Drinks,Alcohol,,WOMEN,Ages 19-30,2000
ALC 5+ DRKS,24.57,5+ Drinks,Alcohol,,WOMEN,Ages 19-30,2001
ALC 5+ DRKS,25.28,5+ Drinks,Alcohol,,WOMEN,Ages 19-30,2002
ALC 5+ DRKS,24.99,5+ Drinks,Alcohol,,WOMEN,Ages 19-30,2003
ALC 5+ DRKS,26.6,5+ Drinks,Alcohol,,WOMEN,Ages 19-30,2004
ALC 5+ DRKS,26.59,5+ Drinks,Alcohol,,WOMEN,Ages 19-30,2005
ALC 5+ DRKS,28.05,5+ Drinks,Alcohol,,WOMEN,Ages 19-30,2006
ALC 5+ DRKS,27.66,5+ Drinks,Alcohol,,WOMEN,Ages 19-30,2007
ALC 5+ DRKS,30.28,5+ Drinks,Alcohol,,WOMEN,Ages 19-30,2008
ALC 5+ DRKS,28.15,5+ Drinks,Alcohol,,WOMEN,Ages 19-30,2009
ALC 5+ DRKS,27.62,5+ Drinks,Alcohol,,WOMEN,Ages 19-30,2010
ALC 5+ DRKS,27.94,5+ Drinks,Alcohol,,WOMEN,Ages 19-30,2011
ALC 5+ DRKS,29.67,5+ Drinks,Alcohol,,WOMEN,Ages 19-30,2012
ALC 5+ DRKS,27.16,5+ Drinks,Alcohol,,WOMEN,Ages 19-30,2013
ALC 5+ DRKS,25.56,5+ Drinks,Alcohol,,WOMEN,Ages 19-30,2014
ALC 5+ DRKS,25.19,5+ Drinks,Alcohol,,WOMEN,Ages 19-30,2015
ALC 5+ DRKS,25,5+ Drinks,Alcohol,,WOMEN,Ages 19-30,2016
ALC 5+ DRKS,25.64,5+ Drinks,Alcohol,,WOMEN,Ages 19-30,2017
ALC 5+ DRKS,25.7,5+ Drinks,Alcohol,,WOMEN,Ages 19-30,2018
ALC 5+ DRKS,26.6,5+ Drinks,Alcohol,,WOMEN,Ages 19-30,2019
ALC 5+ DRKS,23.4,5+ Drinks,Alcohol,,WOMEN,Ages 19-30,2020
ALC 5+ DRKS,27.7,5+ Drinks,Alcohol,,WOMEN,Ages 19-30,2021
ALC 5+ DRKS,26,5+ Drinks,Alcohol,,WOMEN,Ages 19-30,2022
ALC 5+ DRKS,23.4,5+ Drinks,Alcohol,,WOMEN,Ages 19-30,2023
ALC 5+ DRKS,15.64,5+ Drinks,Alcohol,BLACK,,Ages 35-50,2008
ALC 5+ DRKS,15.43,5+ Drinks,Alcohol,BLACK,,Ages 35-50,2009
ALC 5+ DRKS,15.58,5+ Drinks,Alcohol,BLACK,,Ages 35-50,2010
ALC 5+ DRKS,16.44,5+ Drinks,Alcohol,BLACK,,Ages 35-50,2011
ALC 5+ DRKS,11.65,5+ Drinks,Alcohol,BLACK,,Ages 35-50,2012
ALC 5+ DRKS,19.57,5+ Drinks,Alcohol,BLACK,,Ages 35-50,2013
ALC 5+ DRKS,18.53,5+ Drinks,Alcohol,BLACK,,Ages 35-50,2014
ALC 5+ DRKS,11.69,5+ Drinks,Alcohol,BLACK,,Ages 35-50,2015
ALC 5+ DRKS,20,5+ Drinks,Alcohol,BLACK,,Ages 35-50,2016
ALC 5+ DRKS,15.71,5+ Drinks,Alcohol,BLACK,,Ages 35-50,2017
ALC 5+ DRKS,15.8,5+ Drinks,Alcohol,BLACK,,Ages 35-50,2018
ALC 5+ DRKS,17.9,5+ Drinks,Alcohol,BLACK,,Ages 35-50,2019
ALC 5+ DRKS,13.7,5+ Drinks,Alcohol,BLACK,,Ages 35-50,2020
ALC 5+ DRKS,18.6,5+ Drinks,Alcohol,BLACK,,Ages 35-50,2021
ALC 5+ DRKS,17.1,5+ Drinks,Alcohol,BLACK,,Ages 35-50,2022
ALC 5+ DRKS,19.3,5+ Drinks,Alcohol,BLACK,,Ages 35-50,2023
ALC 5+ DRKS,25.57,5+ Drinks,Alcohol,HISPANIC,,Ages 35-50,2008
ALC 5+ DRKS,27.31,5+ Drinks,Alcohol,HISPANIC,,Ages 35-50,2009
ALC 5+ DRKS,23.54,5+ Drinks,Alcohol,HISPANIC,,Ages 35-50,2010
ALC 5+ DRKS,22.36,5+ Drinks,Alcohol,HISPANIC,,Ages 35-50,2011
ALC 5+ DRKS,25.34,5+ Drinks,Alcohol,HISPANIC,,Ages 35-50,2012
ALC 5+ DRKS,29.1,5+ Drinks,Alcohol,HISPANIC,,Ages 35-50,2013
ALC 5+ DRKS,27.66,5+ Drinks,Alcohol,HISPANIC,,Ages 35-50,2014
ALC 5+ DRKS,23.95,5+ Drinks,Alcohol,HISPANIC,,Ages 35-50,2015
ALC 5+ DRKS,27.1,5+ Drinks,Alcohol,HISPANIC,,Ages 35-50,2016
ALC 5+ DRKS,32.42,5+ Drinks,Alcohol,HISPANIC,,Ages 35-50,2017
ALC 5+ DRKS,32.1,5+ Drinks,Alcohol,HISPANIC,,Ages 35-50,2018
ALC 5+ DRKS,28.7,5+ Drinks,Alcohol,HISPANIC,,Ages 35-50,2019
ALC 5+ DRKS,25.6,5+ Drinks,Alcohol,HISPANIC,,Ages 35-50,2020
ALC 5+ DRKS,26,5+ Drinks,Alcohol,HISPANIC,,Ages 35-50,2021
ALC 5+ DRKS,30.6,5+ Drinks,Alcohol,HISPANIC,,Ages 35-50,2022
ALC 5+ DRKS,34,5+ Drinks,Alcohol,HISPANIC,,Ages 35-50,2023
ALC 5+ DRKS,33.13,5+ Drinks,Alcohol,,MEN,Ages 35-50,2008
ALC 5+ DRKS,31.34,5+ Drinks,Alcohol,,MEN,Ages 35-50,2009
ALC 5+ DRKS,31.02,5+ Drinks,Alcohol,,MEN,Ages 35-50,2010
ALC 5+ DRKS,31.66,5+ Drinks,Alcohol,,MEN,Ages 35-50,2011
ALC 5+ DRKS,31.69,5+ Drinks,Alcohol,,MEN,Ages 35-50,2012
ALC 5+ DRKS,32.8,5+ Drinks,Alcohol,,MEN,Ages 35-50,2013
ALC 5+ DRKS,33.28,5+ Drinks,Alcohol,,MEN,Ages 35-50,2014
ALC 5+ DRKS,33.69,5+ Drinks,Alcohol,,MEN,Ages 35-50,2015
ALC 5+ DRKS,32.9,5+ Drinks,Alcohol,,MEN,Ages 35-50,2016
ALC 5+ DRKS,33.92,5+ Drinks,Alcohol,,MEN,Ages 35-50,2017
ALC 5+ DRKS,33,5+ Drinks,Alcohol,,MEN,Ages 35-50,2018
ALC 5+ DRKS,32.9,5+ Drinks,Alcohol,,MEN,Ages 35-50,2019
ALC 5+ DRKS,34.5,5+ Drinks,Alcohol,,MEN,Ages 35-50,2020
ALC 5+ DRKS,34.3,5+ Drinks,Alcohol,,MEN,Ages 35-50,2021
ALC 5+ DRKS,36.3,5+ Drinks,Alcohol,,MEN,Ages 35-50,2022
ALC 5+ DRKS,36,5+ Drinks,Alcohol,,MEN,Ages 35-50,2023
ALC 5+ DRKS,24.41,5+ Drinks,Alcohol,WHITE,,Ages 35-50,2008
ALC 5+ DRKS,23.74,5+ Drinks,Alcohol,WHITE,,Ages 35-50,2009
ALC 5+ DRKS,23.75,5+ Drinks,Alcohol,WHITE,,Ages 35-50,2010
ALC 5+ DRKS,23.98,5+ Drinks,Alcohol,WHITE,,Ages 35-50,2011
ALC 5+ DRKS,24.55,5+ Drinks,Alcohol,WHITE,,Ages 35-50,2012
ALC 5+ DRKS,24.18,5+ Drinks,Alcohol,WHITE,,Ages 35-50,2013
ALC 5+ DRKS,25.54,5+ Drinks,Alcohol,WHITE,,Ages 35-50,2014
ALC 5+ DRKS,26.66,5+ Drinks,Alcohol,WHITE,,Ages 35-50,2015
ALC 5+ DRKS,25.4,5+ Drinks,Alcohol,WHITE,,Ages 35-50,2016
ALC 5+ DRKS,26.86,5+ Drinks,Alcohol,WHITE,,Ages 35-50,2017
ALC 5+ DRKS,25.6,5+ Drinks,Alcohol,WHITE,,Ages 35-50,2018
ALC 5+ DRKS,27.4,5+ Drinks,Alcohol,WHITE,,Ages 35-50,2019
ALC 5+ DRKS,28,5+ Drinks,Alcohol,WHITE,,Ages 35-50,2020
ALC 5+ DRKS,28.1,5+ Drinks,Alcohol,WHITE,,Ages 35-50,2021
ALC 5+ DRKS,31.4,5+ Drinks,Alcohol,WHITE,,Ages 35-50,2022
ALC 5+ DRKS,27.3,5+ Drinks,Alcohol,WHITE,,Ages 35-50,2023
ALC 5+ DRKS,13.83,5+ Drinks,Alcohol,,WOMEN,Ages 35-50,2008
ALC 5+ DRKS,13.96,5+ Drinks,Alcohol,,WOMEN,Ages 35-50,2009
ALC 5+ DRKS,14.6,5+ Drinks,Alcohol,,WOMEN,Ages 35-50,2010
ALC 5+ DRKS,14.77,5+ Drinks,Alcohol,,WOMEN,Ages 35-50,2011
ALC 5+ DRKS,14.5,5+ Drinks,Alcohol,,WOMEN,Ages 35-50,2012
ALC 5+ DRKS,14.82,5+ Drinks,Alcohol,,WOMEN,Ages 35-50,2013
ALC 5+ DRKS,16.29,5+ Drinks,Alcohol,,WOMEN,Ages 35-50,2014
ALC 5+ DRKS,14.6,5+ Drinks,Alcohol,,WOMEN,Ages 35-50,2015
ALC 5+ DRKS,16.4,5+ Drinks,Alcohol,,WOMEN,Ages 35-50,2016
ALC 5+ DRKS,17.05,5+ Drinks,Alcohol,,WOMEN,Ages 35-50,2017
ALC 5+ DRKS,17,5+ Drinks,Alcohol,,WOMEN,Ages 35-50,2018
ALC 5+ DRKS,19.2,5+ Drinks,Alcohol,,WOMEN,Ages 35-50,2019
ALC 5+ DRKS,17.1,5+ Drinks,Alcohol,,WOMEN,Ages 35-50,2020
ALC 5+ DRKS,17.8,5+ Drinks,Alcohol,,WOMEN,Ages 35-50,2021
ALC 5+ DRKS,22.7,5+ Drinks,Alcohol,,WOMEN,Ages 35-50,2022
ALC 5+ DRKS,18.8,5+ Drinks,Alcohol,,WOMEN,Ages 35-50,2023
ANYOTM 30 DAY,7.17,30 Day,Any Drug Other Than Cannabis,BLACK,,Ages 19-30,1988
ANYOTM 30 DAY,5.01,30 Day,Any Drug Other Than Cannabis,BLACK,,Ages 19-30,1989
ANYOTM 30 DAY,3.51,30 Day,Any Drug Other Than Cannabis,BLACK,,Ages 19-30,1990
ANYOTM 30 DAY,4.5,30 Day,Any Drug Other Than Cannabis,BLACK,,Ages 19-30,1991
ANYOTM 30 DAY,3.19,30 Day,Any Drug Other Than Cannabis,BLACK,,Ages 19-30,1992
ANYOTM 30 DAY,3.12,30 Day,Any Drug Other Than Cannabis,BLACK,,Ages 19-30,1993
ANYOTM 30 DAY,3.96,30 Day,Any Drug Other Than Cannabis,BLACK,,Ages 19-30,1994
ANYOTM 30 DAY,2.9,30 Day,Any Drug Other Than Cannabis,BLACK,,Ages 19-30,1995
ANYOTM 30 DAY,2.29,30 Day,Any Drug Other Than Cannabis,BLACK,,Ages 19-30,1996
ANYOTM 30 DAY,2.45,30 Day,Any Drug Other Than Cannabis,BLACK,,Ages 19-30,1997
ANYOTM 30 DAY,3.21,30 Day,Any Drug Other Than Cannabis,BLACK,,Ages 19-30,1998
ANYOTM 30 DAY,1.79,30 Day,Any Drug Other Than Cannabis,BLACK,,Ages 19-30,1999
ANYOTM 30 DAY,2,30 Day,Any Drug Other Than Cannabis,BLACK,,Ages 19-30,2000
ANYOTM 30 DAY,3.16,30 Day,Any Drug Other Than Cannabis,BLACK,,Ages 19-30,2001
ANYOTM 30 DAY,2.04,30 Day,Any Drug Other Than Cannabis,BLACK,,Ages 19-30,2002
ANYOTM 30 DAY,2.97,30 Day,Any Drug Other Than Cannabis,BLACK,,Ages 19-30,2003
ANYOTM 30 DAY,1.97,30 Day,Any Drug Other Than Cannabis,BLACK,,Ages 19-30,2004
ANYOTM 30 DAY,2.86,30 Day,Any Drug Other Than Cannabis,BLACK,,Ages 19-30,2005
ANYOTM 30 DAY,3.91,30 Day,Any Drug Other Than Cannabis,BLACK,,Ages 19-30,2006
ANYOTM 30 DAY,4.41,30 Day,Any Drug Other Than Cannabis,BLACK,,Ages 19-30,2007
ANYOTM 30 DAY,5.2,30 Day,Any Drug Other Than Cannabis,BLACK,,Ages 19-30,2008
ANYOTM 30 DAY,3.36,30 Day,Any Drug Other Than Cannabis,BLACK,,Ages 19-30,2009
ANYOTM 30 DAY,3.8,30 Day,Any Drug Other Than Cannabis,BLACK,,Ages 19-30,2010
ANYOTM 30 DAY,4.05,30 Day,Any Drug Other Than Cannabis,BLACK,,Ages 19-30,2011
ANYOTM 30 DAY,4.09,30 Day,Any Drug Other Than Cannabis,BLACK,,Ages 19-30,2012
ANYOTM 30 DAY,4.32,30 Day,Any Drug Other Than Cannabis,BLACK,,Ages 19-30,2013
ANYOTM 30 DAY,6.8,30 Day,Any Drug Other Than Cannabis,BLACK,,Ages 19-30,2014
ANYOTM 30 DAY,4.13,30 Day,Any Drug Other Than Cannabis,BLACK,,Ages 19-30,2015
ANYOTM 30 DAY,7.2,30 Day,Any Drug Other Than Cannabis,BLACK,,Ages 19-30,2016
ANYOTM 30 DAY,1.89,30 Day,Any Drug Other Than Cannabis,BLACK,,Ages 19-30,2017
ANYOTM 30 DAY,5.8,30 Day,Any Drug Other Than Cannabis,BLACK,,Ages 19-30,2018
ANYOTM 30 DAY,1.4,30 Day,Any Drug Other Than Cannabis,BLACK,,Ages 19-30,2019
ANYOTM 30 DAY,4.1,30 Day,Any Drug Other Than Cannabis,BLACK,,Ages 19-30,2020
ANYOTM 30 DAY,6.1,30 Day,Any Drug Other Than Cannabis,BLACK,,Ages 19-30,2021
ANYOTM 30 DAY,3.5,30 Day,Any Drug Other Than Cannabis,BLACK,,Ages 19-30,2022
ANYOTM 30 DAY,3.4,30 Day,Any Drug Other Than Cannabis,BLACK,,Ages 19-30,2023
ANYOTM 30 DAY,9.32,30 Day,Any Drug Other Than Cannabis,HISPANIC,,Ages 19-30,1988
ANYOTM 30 DAY,8.79,30 Day,Any Drug Other Than Cannabis,HISPANIC,,Ages 19-30,1989
ANYOTM 30 DAY,6.38,30 Day,Any Drug Other Than Cannabis,HISPANIC,,Ages 19-30,1990
ANYOTM 30 DAY,4.74,30 Day,Any Drug Other Than Cannabis,HISPANIC,,Ages 19-30,1991
ANYOTM 30 DAY,5.73,30 Day,Any Drug Other Than Cannabis,HISPANIC,,Ages 19-30,1992
ANYOTM 30 DAY,4.07,30 Day,Any Drug Other Than Cannabis,HISPANIC,,Ages 19-30,1993
ANYOTM 30 DAY,5.77,30 Day,Any Drug Other Than Cannabis,HISPANIC,,Ages 19-30,1994
ANYOTM 30 DAY,3.52,30 Day,Any Drug Other Than Cannabis,HISPANIC,,Ages 19-30,1995
ANYOTM 30 DAY,7.1,30 Day,Any Drug Other Than Cannabis,HISPANIC,,Ages 19-30,1996
ANYOTM 30 DAY,4.88,30 Day,Any Drug Other Than Cannabis,HISPANIC,,Ages 19-30,1997
ANYOTM 30 DAY,6.04,30 Day,Any Drug Other Than Cannabis,HISPANIC,,Ages 19-30,1998
ANYOTM 30 DAY,6.71,30 Day,Any Drug Other Than Cannabis,HISPANIC,,Ages 19-30,1999
ANYOTM 30 DAY,5.91,30 Day,Any Drug Other Than Cannabis,HISPANIC,,Ages 19-30,2000
ANYOTM 30 DAY,5.36,30 Day,Any Drug Other Than Cannabis,HISPANIC,,Ages 19-30,2001
ANYOTM 30 DAY,6.69,30 Day,Any Drug Other Than Cannabis,HISPANIC,,Ages 19-30,2002
ANYOTM 30 DAY,7.91,30 Day,Any Drug Other Than Cannabis,HISPANIC,,Ages 19-30,2003
ANYOTM 30 DAY,5.77,30 Day,Any Drug Other Than Cannabis,HISPANIC,,Ages 19-30,2004
ANYOTM 30 DAY,6.65,30 Day,Any Drug Other Than Cannabis,HISPANIC,,Ages 19-30,2005
ANYOTM 30 DAY,6.74,30 Day,Any Drug Other Than Cannabis,HISPANIC,,Ages 19-30,2006
ANYOTM 30 DAY,5.93,30 Day,Any Drug Other Than Cannabis,HISPANIC,,Ages 19-30,2007
ANYOTM 30 DAY,6.91,30 Day,Any Drug Other Than Cannabis,HISPANIC,,Ages 19-30,2008
ANYOTM 30 DAY,5.2,30 Day,Any Drug Other Than Cannabis,HISPANIC,,Ages 19-30,2009
ANYOTM 30 DAY,7.56,30 Day,Any Drug Other Than Cannabis,HISPANIC,,Ages 19-30,2010
ANYOTM 30 DAY,6.84,30 Day,Any Drug Other Than Cannabis,HISPANIC,,Ages 19-30,2011
ANYOTM 30 DAY,6.63,30 Day,Any Drug Other Than Cannabis,HISPANIC,,Ages 19-30,2012
ANYOTM 30 DAY,7.08,30 Day,Any Drug Other Than Cannabis,HISPANIC,,Ages 19-30,2013
ANYOTM 30 DAY,10.55,30 Day,Any Drug Other Than Cannabis,HISPANIC,,Ages 19-30,2014
ANYOTM 30 DAY,6.95,30 Day,Any Drug Other Than Cannabis,HISPANIC,,Ages 19-30,2015
ANYOTM 30 DAY,7.6,30 Day,Any Drug Other Than Cannabis,HISPANIC,,Ages 19-30,2016
ANYOTM 30 DAY,8.28,30 Day,Any Drug Other Than Cannabis,HISPANIC,,Ages 19-30,2017
ANYOTM 30 DAY,6.9,30 Day,Any Drug Other Than Cannabis,HISPANIC,,Ages 19-30,2018
ANYOTM 30 DAY,7.4,30 Day,Any Drug Other Than Cannabis,HISPANIC,,Ages 19-30,2019
ANYOTM 30 DAY,9.1,30 Day,Any Drug Other Than Cannabis,HISPANIC,,Ages 19-30,2020
ANYOTM 30 DAY,6.2,30 Day,Any Drug Other Than Cannabis,HISPANIC,,Ages 19-30,2021
ANYOTM 30 DAY,7.2,30 Day,Any Drug Other Than Cannabis,HISPANIC,,Ages 19-30,2022
ANYOTM 30 DAY,5.4,30 Day,Any Drug Other Than Cannabis,HISPANIC,,Ages 19-30,2023
ANYOTM 30 DAY,10.62,30 Day,Any Drug Other Than Cannabis,,MEN,Ages 19-30,1988
ANYOTM 30 DAY,9.11,30 Day,Any Drug Other Than Cannabis,,MEN,Ages 19-30,1989
ANYOTM 30 DAY,6.61,30 Day,Any Drug Other Than Cannabis,,MEN,Ages 19-30,1990
ANYOTM 30 DAY,6.65,30 Day,Any Drug Other Than Cannabis,,MEN,Ages 19-30,1991
ANYOTM 30 DAY,6.02,30 Day,Any Drug Other Than Cannabis,,MEN,Ages 19-30,1992
ANYOTM 30 DAY,5.36,30 Day,Any Drug Other Than Cannabis,,MEN,Ages 19-30,1993
ANYOTM 30 DAY,6.78,30 Day,Any Drug Other Than Cannabis,,MEN,Ages 19-30,1994
ANYOTM 30 DAY,6.41,30 Day,Any Drug Other Than Cannabis,,MEN,Ages 19-30,1995
ANYOTM 30 DAY,5.83,30 Day,Any Drug Other Than Cannabis,,MEN,Ages 19-30,1996
ANYOTM 30 DAY,6.06,30 Day,Any Drug Other Than Cannabis,,MEN,Ages 19-30,1997
ANYOTM 30 DAY,6.71,30 Day,Any Drug Other Than Cannabis,,MEN,Ages 19-30,1998
