"drug","age","time","_NAME_","_2009","_2010","_2011","_2012","_2013","_2014","_2015","_2016","_2017","_2018","_2019","_2020","_2021","_2022","_1993","_1994","_1995","_1996","_1997","_1998","_1999","_2000","_2001","_2002","_2003","_2004","_2005","_2006","_2007","_2008","_1977","_1978","_1979","_1980","_1981","_1982","_1983","_1984","_1985","_1986","_1987","_1988","_1989","_1990","_1991","_1992"
"Any Drug Other Than Marijuana","Ages 29-30","12 Month","estimate",15.3905,12.9668,13.4907,12.6384,13.5397,17.7584,13.6159,15.9573,16.5659,17.4063,18.5969,15.2298,16.597,16.333,8.663,10.3115,9.1732,8.9919,9.8608,7.1950,6.9752,6.9355,7.1396,9.6034,10.1429,11.1910,14.5887,13.5974,12.2421,14.6107,".",".",".",".",".",".",".",".",".",".",20.4451,18.9128,16.2222,11.4645,11.2859,10.5540
"Any Drug Other Than Marijuana","Ages 29-30","30 Day","estimate",7.6434,6.9806,7.1712,5.9464,6.3833,8.7454,5.6537,7.6069,8.3423,8.9838,8.1422,6.5813,7.510,5.792,3.244,4.3806,4.6442,4.3442,3.9359,3.7121,3.5173,3.0421,3.5835,4.4830,5.7902,5.5721,6.8533,5.5789,6.7924,7.6091,".",".",".",".",".",".",".",".",".",".",10.4794,9.5928,7.0149,5.2425,5.7460,4.6708
"Any Drug Other Than Marijuana","Ages 35-50","12 Month","estimate",11.2384,11.2018,11.1302,11.3181,10.5792,10.7122,11.9824,11.1772,10.9827,12.1349,10.5664,10.0126,10.970,11.883,100.000,11.6130,10.2874,11.3041,10.0616,8.5011,8.9734,8.4770,8.0140,9.8026,8.8793,9.9243,9.8058,10.2484,11.3445,11.7033,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Any Drug Other Than Marijuana","Ages 35-50","30 Day","estimate",5.5752,5.6140,5.3324,5.3848,5.2857,5.1358,5.7079,5.4476,4.9489,5.3178,5.4167,4.8220,5.368,5.457,100.000,4.4933,4.8569,4.6072,5.8274,4.2714,3.5693,3.7170,3.7765,4.5257,4.3069,4.6382,4.4778,4.8328,5.4570,5.5606,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Any Prescription Drug","Age 35","12 Month","estimate",11.4215,10.9570,12.4315,10.9627,10.7448,14.0773,12.3053,12.9509,11.3738,12.8699,10.9227,10.4291,8.602,9.788,7.582,7.4576,6.9065,6.9430,6.4842,4.3860,6.3021,5.6098,7.1674,8.2819,8.8812,8.5152,9.4376,9.2732,9.4774,12.4633,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Any Prescription Drug","Age 35","30 Day","estimate",4.5305,5.8700,5.8156,4.2561,5.1869,5.7263,5.8246,5.6317,4.9264,4.2459,4.9382,4.9462,3.974,4.084,3.021,2.6908,3.1485,2.8859,3.7079,1.3854,2.3265,2.4255,3.1389,3.9082,3.6622,3.8539,4.1373,4.2965,4.4699,4.4016,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Any Prescription Drug","Age 40","12 Month","estimate",9.4547,8.4151,8.2924,9.2871,9.7324,7.7687,9.9621,10.7619,9.5208,8.2213,8.8867,7.6549,8.230,9.150,".",".",".",".",".",5.6007,4.7213,5.3109,5.3772,6.7891,4.1022,6.4327,7.2349,8.4012,10.1850,10.3567,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Any Prescription Drug","Age 40","30 Day","estimate",4.4477,4.4683,3.5940,4.0648,4.5329,3.5123,4.5127,5.1292,4.8913,3.1998,4.7677,3.8476,3.097,4.790,".",".",".",".",".",3.1010,2.0820,2.6453,2.3495,2.7527,1.7027,3.6042,3.3006,3.5041,5.0497,3.8542,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Any Prescription Drug","Age 45","12 Month","estimate",8.4516,10.3334,8.6570,10.4460,8.6949,7.7582,9.3161,7.9930,8.5749,8.5348,7.9449,7.3672,9.623,7.208,".",".",".",".",".",".",".",".",".",".",6.1047,7.1231,6.3926,7.7804,8.7492,8.5031,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Any Prescription Drug","Age 45","30 Day","estimate",3.8782,4.6634,4.6761,4.8452,4.9836,4.0791,3.2669,4.2768,2.9864,3.5954,3.8076,3.6201,3.442,3.726,".",".",".",".",".",".",".",".",".",".",3.0005,2.5444,2.9657,4.0793,3.7819,4.8162,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Any Prescription Drug","Age 50","12 Month","estimate",9.0879,9.4346,9.5472,9.3358,7.1199,8.1766,9.4734,8.0215,8.3096,10.9434,7.8362,5.7820,7.820,7.318,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",8.8348,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Any Prescription Drug","Age 50","30 Day","estimate",5.3325,5.2929,4.6291,5.5945,3.7359,4.2166,5.2572,4.1882,4.1504,6.8713,3.9668,2.3828,4.586,4.459,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",5.1147,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Any Prescription Drug","Age 55","12 Month","estimate",".",".",".",".",5.9675,6.3870,7.9280,7.9173,6.9047,7.9528,8.2096,7.3191,6.365,7.588,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Any Prescription Drug","Age 60","12 Month","estimate",".",".",".",".",".",".",".",".",".",6.2160,6.0240,6.6923,7.725,6.963,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Any Prescription Drug","Ages 19-20","12 Month","estimate",12.2320,14.6574,15.6813,13.7287,16.5441,16.0132,13.1002,12.1041,10.8233,8.3281,6.5521,7.9378,5.830,5.529,8.595,9.9978,12.3989,12.1462,11.5624,11.7318,13.5033,15.7099,13.6907,15.5411,17.0767,17.4075,15.5640,14.3214,14.6186,14.8407,24.6123,23.7173,25.4763,28.1944,29.7829,27.0248,24.5196,20.1119,18.6859,15.1703,13.2749,12.9506,10.9402,11.0835,9.2840,8.8357
"Any Prescription Drug","Ages 19-20","30 Day","estimate",5.5273,7.3062,6.7442,6.6247,7.2444,8.5559,6.2330,4.9997,3.5040,2.9895,2.8536,2.1294,2.369,1.626,3.436,3.5753,4.7300,4.5257,4.8106,5.1358,6.1500,7.2633,6.7252,7.8569,7.9876,8.4397,6.3124,6.5370,7.7603,7.1086,11.0885,11.1196,12.7381,15.5013,16.9216,13.2490,10.2713,8.4199,8.1817,6.4574,5.4186,5.5099,3.6466,3.4534,2.6292,3.2317
"Any Prescription Drug","Ages 19-30","12 Month","estimate",14.8267,15.4656,15.0060,14.5152,15.5922,14.9597,13.2721,12.9307,13.0160,12.6838,10.4055,9.7022,8.748,8.018,7.701,8.1882,8.7342,8.3510,8.5092,8.4673,8.5544,9.7286,10.8691,12.4217,13.4451,14.2139,14.2924,14.5298,14.4585,15.4087,24.6123,23.7173,26.1495,28.8462,30.1567,26.5581,23.6713,19.7813,18.4421,15.1553,13.2681,11.1844,10.1073,9.3277,8.5506,8.2254
"Any Prescription Drug","Ages 19-30","30 Day","estimate",7.0589,6.9160,7.1261,6.3294,6.9237,7.0035,5.7254,5.8774,5.1688,4.9655,4.0242,3.4904,3.777,3.563,2.688,3.0837,3.3501,3.0064,3.2679,3.4372,3.8002,4.2559,4.8235,5.4099,5.9604,6.0184,6.5115,6.1937,6.8862,7.2813,11.0885,11.1196,13.0669,15.6386,17.0867,12.0284,10.0925,8.3093,7.5895,6.0871,5.3441,4.2814,3.6637,3.5079,2.9955,2.9877
"Any Prescription Drug","Ages 21-22","12 Month","estimate",18.9956,17.6295,15.2607,15.9767,19.0262,16.5568,14.9495,18.0946,13.8196,14.3075,12.0173,9.3222,8.172,5.180,8.911,9.3874,10.2995,9.5140,12.7830,9.7985,9.2953,11.2514,14.8859,14.8718,16.5274,16.0602,17.1258,18.6497,17.3280,15.2787,".",".",27.7110,29.5847,30.1837,26.3857,23.6092,21.2411,17.9092,17.0876,15.1418,12.6709,11.4328,9.9063,9.2113,9.1597
"Any Prescription Drug","Ages 21-22","30 Day","estimate",8.9031,7.9860,6.9150,6.4427,9.5283,7.5559,7.9091,9.4970,6.4076,4.9628,4.1953,3.3040,4.273,1.917,3.396,3.5914,3.9633,3.2276,4.6901,3.7274,4.4066,4.8041,6.4075,7.0137,8.0222,7.1461,8.3434,8.0731,7.6576,7.9282,".",".",13.8263,15.7944,17.3135,11.0714,10.5650,9.0532,7.0106,6.7032,5.8672,4.4966,4.1344,3.6971,3.1804,3.3384
"Any Prescription Drug","Ages 23-24","12 Month","estimate",14.0727,17.3339,15.8330,15.9630,15.0192,13.9689,15.2275,11.7273,14.6898,14.8108,11.0392,9.6051,8.710,8.490,7.980,8.4274,7.3800,8.8485,7.2979,9.8621,9.6947,10.1146,11.5531,13.7697,16.3799,16.9579,13.8715,15.5697,16.8643,17.8613,".",".",".",".",30.9297,26.2376,23.5364,19.0320,19.1249,16.7154,12.6323,11.5659,10.3364,10.0391,8.4673,8.4026
"Any Prescription Drug","Ages 23-24","30 Day","estimate",6.3123,7.9936,8.7963,7.4531,7.0064,6.9362,7.0433,5.3590,5.7698,5.9148,4.8937,3.2943,3.153,4.732,2.103,3.2409,2.9902,3.6901,3.1734,3.6748,4.2781,4.6296,4.9593,6.2256,7.0772,6.6118,6.7030,6.7343,7.5559,8.5739,".",".",".",".",16.9234,11.7656,10.0874,7.5425,7.8469,6.5999,4.2814,3.9868,3.7028,4.1893,2.5747,2.3646
"Any Prescription Drug","Ages 25-26","12 Month","estimate",16.3811,17.1680,15.6131,13.9791,15.0112,15.4468,12.3926,12.0668,13.7338,12.5968,9.9112,11.5445,10.725,9.861,7.815,8.1508,7.1900,6.0582,6.4291,7.6041,7.9648,9.5031,9.7969,11.9973,11.8352,12.8537,15.0357,14.0039,13.5660,15.6741,".",".",".",".",".",".",22.0529,18.6452,18.9177,12.9632,13.2388,10.1973,9.9084,9.9785,8.1965,8.4779
"Any Prescription Drug","Ages 25-26","30 Day","estimate",8.3825,6.4587,7.1598,5.8477,6.6360,7.2841,4.0988,4.9247,4.8481,4.2669,3.4677,4.8072,3.830,3.906,3.087,2.7436,2.5706,2.2026,2.0893,3.2354,3.1028,4.2429,4.1689,4.2252,4.9898,5.0479,6.7248,5.7842,6.7681,6.5524,".",".",".",".",".",".",8.6180,8.2373,7.6874,5.1573,5.4997,4.4385,3.3066,3.6805,3.3451,3.0293
"Any Prescription Drug","Ages 27-28","12 Month","estimate",11.9850,13.4767,14.3657,15.2239,14.5725,13.2854,12.3068,11.5695,12.1140,12.3732,11.3656,10.0293,8.532,8.945,7.026,6.9670,7.7901,6.8835,5.6102,6.7460,5.9277,6.7965,8.7258,10.5708,11.3620,12.2558,10.7664,12.7214,13.4597,15.5085,".",".",".",".",".",".",".",".",16.5851,13.7423,13.1903,9.9404,9.4601,7.7417,8.2372,8.0119
"Any Prescription Drug","Ages 27-28","30 Day","estimate",6.6162,5.9254,6.5576,6.7159,5.5969,6.0801,4.9860,6.1850,5.2219,5.8039,4.7445,3.9321,4.222,4.420,2.606,2.7423,3.1968,2.1035,2.5371,2.5658,2.3570,2.7706,4.4188,4.7187,4.1560,4.8934,5.2281,5.6489,5.8943,7.3598,".",".",".",".",".",".",".",".",6.8797,5.4965,5.6169,3.4091,3.6517,3.1308,3.1031,3.0456
"Any Prescription Drug","Ages 29-30","12 Month","estimate",15.1952,12.3124,13.0612,12.0824,13.2446,14.5820,11.7240,12.2922,12.7385,13.4512,11.5734,9.3708,9.440,8.776,6.097,6.3673,7.4280,6.9108,7.5754,5.3167,5.2768,5.6031,7.0934,8.3098,8.5289,10.5183,13.6769,12.2857,11.0562,13.4644,".",".",".",".",".",".",".",".",".",".",10.8966,9.8524,8.6699,7.3526,7.9261,6.5733
"Any Prescription Drug","Ages 29-30","30 Day","estimate",6.7408,5.7217,6.4822,4.7782,5.4942,5.7367,4.2157,4.4906,5.1913,5.6936,4.0431,3.1544,4.186,3.805,1.668,2.6575,2.6990,2.4206,2.3908,2.4209,2.6555,2.1179,2.5788,2.7915,4.1558,4.3791,6.0254,4.5612,5.7743,6.1537,".",".",".",".",".",".",".",".",".",".",5.6374,3.9137,3.5909,2.9522,3.1078,2.9177
"Any Prescription Drug","Ages 35-50","12 Month","estimate",9.5808,9.7644,9.7004,10.0122,8.4101,8.8088,9.7128,9.3933,8.8462,9.5675,8.6661,7.6713,8.112,8.177,7.582,7.4576,6.9065,6.9430,6.4842,4.9336,5.5716,5.4519,6.2588,7.5423,6.2579,7.3459,7.6456,8.4872,9.4679,9.9917,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Any Prescription Drug","Ages 35-50","30 Day","estimate",4.5206,5.0765,4.6581,4.7104,4.5702,4.3615,4.6902,4.7644,4.2293,4.4969,4.3387,3.6706,3.806,4.244,3.021,2.6908,3.1485,2.8859,3.7079,2.1587,2.2135,2.5417,2.7378,3.3353,2.7305,3.3670,3.4509,3.9630,4.4309,4.5501,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cigarettes","Age 35","12 Month","estimate",23.8958,26.1105,28.7589,24.5588,22.9873,27.2091,26.8880,24.1444,20.2570,21.6289,19.5587,20.6718,16.723,19.578,32.349,29.7281,29.5206,32.0032,28.2513,29.6696,29.5882,29.1367,27.3428,30.1386,27.1643,26.9628,27.0441,25.3653,24.9868,29.3773,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cigarettes","Age 35","30 Day","estimate",17.9152,20.0023,21.8007,18.9020,18.1096,19.3864,19.0283,17.2681,15.4939,12.3335,12.9765,12.0222,12.361,13.744,28.347,25.9385,26.1744,26.9639,22.8407,25.1477,23.8293,24.8570,21.2819,24.1150,20.3836,20.3768,21.1218,18.2614,18.5776,22.2374,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cigarettes","Age 35","Daily","estimate",14.1800,15.7040,16.9180,14.3454,12.7035,14.9679,13.0797,12.4989,11.6944,8.4822,9.5026,9.9505,7.703,9.816,25.364,23.5118,23.1856,23.3677,18.9571,21.8640,20.9642,20.9291,17.4230,20.0925,16.8373,15.2652,16.3741,13.9201,14.1775,17.3950,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cigarettes","Age 35","Half Pack","estimate",11.7274,11.8584,11.8181,11.0805,9.2572,9.8945,8.0331,9.4546,6.4175,5.7718,5.1078,7.7484,4.469,6.494,21.705,19.6853,19.1934,19.3303,15.9962,17.6315,18.2428,15.6429,14.1154,14.4004,13.3190,11.0746,12.9449,10.8589,10.5014,12.8219,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cigarettes","Age 40","12 Month","estimate",20.3192,20.8854,17.6374,16.7100,23.2474,18.7841,19.7060,20.1420,20.3733,18.9490,17.9911,17.9458,15.830,18.117,".",".",".",".",".",27.4194,27.7774,27.5212,27.2742,23.5373,27.4312,25.8290,25.3329,23.2282,23.8358,24.2141,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cigarettes","Age 40","30 Day","estimate",16.1055,17.7338,15.3072,12.8651,18.9667,14.4769,14.6765,14.7944,14.5317,13.2256,13.8120,13.0216,11.138,13.781,".",".",".",".",".",24.1313,24.4927,23.4935,24.0904,19.7146,24.0930,21.1378,21.6233,18.5960,19.4274,19.0615,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cigarettes","Age 40","Daily","estimate",12.4067,14.8716,12.2743,10.6474,14.7323,10.7795,12.2277,10.4966,11.5518,10.1865,9.3541,10.6456,8.095,9.829,".",".",".",".",".",21.5623,21.8439,20.8665,21.1948,17.4701,21.0869,17.3525,18.1700,15.8050,16.6804,15.7772,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cigarettes","Age 40","Half Pack","estimate",8.5138,10.9918,8.6391,7.6897,10.5606,7.4144,9.4507,6.6447,7.6260,6.8909,5.6078,7.2196,5.164,7.186,".",".",".",".",".",18.0833,17.5841,17.2687,16.8959,14.4610,16.6766,14.8285,15.9944,12.9031,12.6494,12.4263,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cigarettes","Age 45","12 Month","estimate",23.3072,23.3161,18.9720,20.0207,19.2002,18.8737,15.4547,15.5347,12.9341,17.4699,13.9298,18.7211,13.988,16.648,".",".",".",".",".",".",".",".",".",".",26.2283,24.2180,25.7866,22.8998,21.6431,22.4638,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cigarettes","Age 45","30 Day","estimate",19.0210,19.6053,16.2168,16.3917,13.8989,16.1761,11.4818,12.8402,9.8949,14.4056,11.6135,13.4238,8.999,13.226,".",".",".",".",".",".",".",".",".",".",22.0227,20.9635,22.4787,19.7730,18.3714,19.7215,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cigarettes","Age 45","Daily","estimate",17.0260,17.2810,14.2331,14.1951,11.2582,12.3152,9.6760,10.6938,7.9094,11.0298,9.6802,11.0207,6.800,9.159,".",".",".",".",".",".",".",".",".",".",20.1863,18.4801,20.0933,17.4310,16.3856,16.7756,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cigarettes","Age 45","Half Pack","estimate",14.1967,13.9388,11.2844,11.0519,9.0191,9.0909,7.3138,8.1523,5.5869,8.2366,7.6434,8.9855,4.805,6.541,".",".",".",".",".",".",".",".",".",".",17.7831,15.8917,16.4975,14.7681,13.1449,14.0554,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cigarettes","Age 50","12 Month","estimate",20.8271,22.6764,20.9941,19.1198,19.9090,19.1878,20.1795,17.6394,16.8084,14.2578,15.6339,12.6323,14.587,12.164,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",22.9478,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cigarettes","Age 50","30 Day","estimate",17.5241,20.0285,17.3440,15.8142,16.7509,15.5115,16.4055,14.9633,14.0847,11.5386,10.9839,9.8660,11.383,8.335,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",19.8489,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cigarettes","Age 50","Daily","estimate",15.9184,18.0867,15.3473,14.1033,14.4561,13.8759,13.9006,12.1658,12.6305,9.6962,9.2792,7.7058,9.378,7.333,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",17.6272,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cigarettes","Age 50","Half Pack","estimate",12.6803,14.3003,11.9731,11.8273,11.3204,10.6880,11.2150,9.8243,9.8228,6.6761,7.0633,5.4511,7.019,4.679,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",14.4902,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cigarettes","Age 55","12 Month","estimate",".",".",".",".",17.7717,18.4567,18.3566,16.9190,16.6295,18.3754,16.4344,15.9458,15.136,13.931,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cigarettes","Age 55","30 Day","estimate",".",".",".",".",14.6715,15.1488,15.5971,14.4788,13.2218,15.2678,13.2247,12.0524,11.353,10.541,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cigarettes","Age 55","Daily","estimate",".",".",".",".",13.9200,13.4399,13.6319,12.7481,11.7274,13.2759,11.8793,11.0892,10.701,9.673,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cigarettes","Age 55","Half Pack","estimate",".",".",".",".",11.4380,10.6241,11.1620,9.6389,9.2766,10.7230,9.4980,9.0881,8.139,7.735,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cigarettes","Age 60","12 Month","estimate",".",".",".",".",".",".",".",".",".",16.0292,14.5535,16.1143,13.798,14.772,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cigarettes","Age 60","30 Day","estimate",".",".",".",".",".",".",".",".",".",13.9374,12.1897,13.1177,10.070,12.035,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cigarettes","Age 60","Daily","estimate",".",".",".",".",".",".",".",".",".",12.7791,9.9354,12.2162,9.372,10.493,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cigarettes","Age 60","Half Pack","estimate",".",".",".",".",".",".",".",".",".",10.0849,7.6770,9.3566,7.102,8.137,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cigarettes","Ages 19-20","12 Month","estimate",32.1034,30.5457,31.1140,26.6866,28.2364,25.9413,26.9036,17.3575,17.9158,18.9771,17.1024,18.9192,16.981,12.251,42.444,45.1772,44.3035,45.9179,48.0798,46.9698,47.7212,45.0431,43.2292,41.9884,40.0531,41.7377,39.3593,36.2305,34.3661,32.2773,49.2356,49.7264,51.2547,47.9271,45.1220,45.1434,45.0649,43.8556,43.6207,43.3136,43.4193,41.6198,42.0062,40.3975,41.9746,41.5064
"Cigarettes","Ages 19-20","30 Day","estimate",20.8838,20.5865,19.4775,16.8785,18.7040,15.8819,17.0277,9.7060,9.6813,11.2266,8.3513,8.0819,7.249,5.133,28.988,32.5400,32.6859,34.3384,33.9316,34.0416,35.9529,32.0204,31.9110,30.4260,28.3469,29.0305,26.5479,26.0802,21.6142,21.1978,37.1196,39.3129,39.1155,37.0188,34.5533,33.6761,33.3872,32.4217,31.4041,30.6077,30.1406,28.2911,28.2374,27.0936,28.2240,30.1114
"Cigarettes","Ages 19-20","Daily","estimate",12.3266,11.7760,11.5510,9.6015,12.0574,8.3859,8.2499,4.2219,4.9544,6.7708,3.2425,4.0736,3.375,1.288,21.092,23.0238,21.7937,22.8258,22.8814,24.1050,25.2825,22.5194,21.4410,21.0314,19.4849,18.8557,16.8223,15.2460,12.1054,13.8453,28.8717,30.9599,30.6804,29.9959,25.7073,25.0640,25.1607,25.1210,23.7214,22.3094,22.6956,19.5596,19.4500,19.3027,20.2360,21.0493
"Cigarettes","Ages 19-20","Half Pack","estimate",7.3435,6.2187,4.6123,4.1763,6.3559,4.5169,4.0239,2.6720,2.8969,3.0735,2.1266,1.4468,2.597,1.050,14.653,15.1374,14.9287,14.5870,15.4867,17.2825,15.6880,14.3330,13.9167,12.3845,11.8484,11.7375,9.5465,8.7376,6.8115,7.3303,22.7027,23.5060,24.3391,22.4005,19.5881,18.7512,17.8199,18.2372,17.2005,16.4739,15.8502,13.7321,13.3286,14.6890,13.1379,14.8280
"Cigarettes","Ages 19-30","12 Month","estimate",34.2466,33.2633,32.0806,30.0011,29.9068,27.4050,26.1601,24.2492,23.4138,23.5617,23.0479,21.6986,20.302,17.773,36.703,37.1676,37.2858,37.9748,39.2562,39.6857,38.5958,39.1857,38.5274,38.1127,36.6926,37.9240,37.4330,36.7311,35.2666,34.8336,49.2356,49.7264,50.6398,47.6201,45.7457,45.2496,44.4033,42.3425,42.0168,40.6241,40.0796,37.4843,38.0388,36.5284,37.0636,36.2720
"Cigarettes","Ages 19-30","30 Day","estimate",24.2890,23.6393,22.4192,20.4396,20.6424,18.2315,17.4971,15.2213,15.2206,13.7686,13.0615,10.3153,11.050,8.542,28.158,28.3215,28.6345,29.1713,28.8215,30.1501,28.9242,29.1242,28.4637,28.9871,27.3282,28.8432,27.5430,27.6914,25.6868,25.5218,37.1196,39.3129,38.3526,37.4636,36.0343,35.9131,34.4949,33.6010,33.1285,31.8321,31.1897,29.4150,29.6301,28.2591,28.4956,27.9789
"Cigarettes","Ages 19-30","Daily","estimate",16.3457,16.0985,14.9922,13.8889,12.7551,11.7503,10.9094,9.6453,8.7017,8.2357,7.2783,6.0319,5.669,4.204,21.505,21.5430,21.4250,21.6535,20.6563,21.7860,20.7729,21.2797,20.2406,20.9604,19.7492,20.6892,19.5646,19.4804,17.6862,17.5185,28.8717,30.9599,30.8084,30.5900,28.8461,28.2043,27.5890,27.3526,26.6190,26.0809,25.4814,23.8176,23.8867,22.6399,22.6033,21.4495
"Cigarettes","Ages 19-30","Half Pack","estimate",9.8765,10.0334,8.2478,7.9345,7.3541,6.9568,6.3399,5.9624,4.7809,4.5598,4.0712,3.3437,3.542,2.062,16.448,16.1227,16.1557,15.6947,14.8869,15.5330,14.6539,14.9777,14.2273,14.2504,13.7616,13.8668,12.6684,12.5621,11.5850,11.0354,22.7027,23.5060,24.6771,23.7069,22.7979,22.2474,21.3111,21.9632,21.4550,20.9472,20.5068,19.0383,18.8500,18.1059,17.0312,16.5871
"Cigarettes","Ages 21-22","12 Month","estimate",36.7142,35.2334,35.2585,29.9620,32.3877,27.5790,27.9093,27.4505,27.0509,23.3914,25.9355,21.6713,18.329,18.356,41.485,41.1590,41.8904,44.5627,43.9547,45.4905,43.8790,45.1020,45.7597,42.7235,39.7322,43.2669,39.7565,39.7252,38.0744,36.9350,".",".",49.2059,47.2706,47.5699,45.9751,43.6785,42.2035,43.7546,41.1666,43.3773,40.6119,39.4204,39.3818,39.4302,40.4121
"Cigarettes","Ages 21-22","30 Day","estimate",25.3087,23.1172,24.2145,20.2846,22.3118,18.1920,18.7635,16.0615,17.8409,12.4339,13.2512,7.8012,8.284,7.845,29.788,30.2370,31.1780,32.9259,31.3979,33.3160,32.8352,34.5177,33.5825,32.3921,29.4142,31.8184,29.4047,29.0001,28.2016,26.4540,".",".",36.5743,37.9700,36.9825,36.6557,33.7564,33.5526,33.3489,32.1352,32.6976,30.2640,29.8643,28.6839,28.4585,28.8444
"Cigarettes","Ages 21-22","Daily","estimate",15.1903,15.9450,15.9108,12.5412,12.4850,10.9065,11.6064,8.9849,8.6886,5.4436,5.8950,3.8971,3.076,3.428,20.742,22.3905,23.9684,23.5853,21.3600,22.8769,23.2604,25.9946,23.1455,23.9905,20.8537,21.2918,20.1429,18.6977,18.8781,16.8882,".",".",31.1068,31.2664,30.6685,29.0715,26.4093,26.5709,26.0919,25.1631,24.7786,22.7935,22.9087,20.5065,20.7455,21.2743
"Cigarettes","Ages 21-22","Half Pack","estimate",8.6661,9.5304,8.5780,7.4117,6.3785,6.0700,5.5999,4.2966,4.6047,3.2346,2.0829,1.2638,2.614,0.886,14.734,16.3644,18.1587,16.6920,14.7076,16.1468,15.9272,17.9127,14.9122,13.5246,14.1576,12.6385,12.0328,11.1814,10.9941,9.7779,".",".",25.4651,25.1939,24.6786,23.2497,20.2023,21.9821,20.9325,20.1339,19.6095,17.8249,16.6695,15.0250,14.4392,15.6035
"Cigarettes","Ages 23-24","12 Month","estimate",36.3048,34.7877,34.6793,32.3451,31.7056,28.9449,27.6788,25.8543,25.5903,29.0365,22.8272,23.3562,20.233,20.919,36.037,37.7555,37.3318,39.7858,38.5829,42.7989,42.8020,41.5905,41.5399,41.3268,40.0491,42.1393,39.1671,38.6940,38.0306,38.6042,".",".",".",".",42.9034,44.5372,45.2423,41.8492,39.7017,39.5990,41.3052,36.9388,39.4503,37.6633,37.3568,37.3503
