drug,time,grade,year,estimate,LBYear1,LBYear2
Been Drunk,12 Month,12th Grade,2005,47.7,,
Been Drunk,12 Month,12th Grade,2006,47.9,,
Been Drunk,12 Month,12th Grade,2007,46.1,,
Been Drunk,12 Month,12th Grade,2008,45.6,,
Been Drunk,12 Month,12th Grade,2009,47,,
Been Drunk,12 Month,12th Grade,2010,44,,
Been Drunk,12 Month,12th Grade,2011,42.2,,
Been Drunk,12 Month,12th Grade,2012,45,,
Been Drunk,12 Month,12th Grade,2013,43.5,,
Been Drunk,12 Month,12th Grade,2014,41.4,,
Been Drunk,12 Month,12th Grade,2015,37.7,,
Been Drunk,12 Month,12th Grade,2016,37.3,,
Been Drunk,12 Month,12th Grade,2017,35.6,,
Been Drunk,12 Month,12th Grade,2018,33.9,,
Been Drunk,12 Month,12th Grade,2019,32.8,,
Been Drunk,12 Month,12th Grade,2020,36.9,,
Been Drunk,12 Month,12th Grade,2021,28.8,,
Been Drunk,12 Month,12th Grade,2022,29.6,,
Been Drunk,12 Month,12th Grade,2023,25.1,,
Been Drunk,12 Month,12th Grade,2024,25.5,,
Been Drunk,12 Month,8th Grade,1991,17.5,,
Been Drunk,12 Month,8th Grade,1992,18.3,,
Been Drunk,12 Month,8th Grade,1993,18.2,,
Been Drunk,12 Month,8th Grade,1994,18.2,,
Been Drunk,12 Month,8th Grade,1995,18.4,,
Been Drunk,12 Month,8th Grade,1996,19.8,,
Been Drunk,12 Month,8th Grade,1997,18.4,,
Been Drunk,12 Month,8th Grade,1998,17.9,,
Been Drunk,12 Month,8th Grade,1999,18.5,,
Been Drunk,12 Month,8th Grade,2000,18.5,,
Been Drunk,12 Month,8th Grade,2001,16.6,,
Been Drunk,12 Month,8th Grade,2002,15,,
Been Drunk,12 Month,8th Grade,2003,14.5,,
Been Drunk,12 Month,8th Grade,2004,14.5,,
Been Drunk,12 Month,8th Grade,2005,14.1,,
Been Drunk,12 Month,8th Grade,2006,13.9,,
Been Drunk,12 Month,8th Grade,2007,12.6,,
Been Drunk,12 Month,8th Grade,2008,12.7,,
Been Drunk,12 Month,8th Grade,2009,12.2,,
Been Drunk,12 Month,8th Grade,2010,11.5,,
Been Drunk,12 Month,8th Grade,2011,10.5,,
Been Drunk,12 Month,8th Grade,2012,8.6,,
Been Drunk,12 Month,8th Grade,2013,8.4,,
Been Drunk,12 Month,8th Grade,2014,7.3,,
Been Drunk,12 Month,8th Grade,2015,7.7,,
Been Drunk,12 Month,8th Grade,2016,5.7,,
Been Drunk,12 Month,8th Grade,2017,6.4,,
Been Drunk,12 Month,8th Grade,2018,6.5,,
Been Drunk,12 Month,8th Grade,2019,6.6,,
Been Drunk,12 Month,8th Grade,2020,7.5,,
Been Drunk,12 Month,8th Grade,2021,5.7,,
Been Drunk,12 Month,8th Grade,2022,4.7,,
Been Drunk,12 Month,8th Grade,2023,4.6,,
Been Drunk,12 Month,8th Grade,2024,3.6,,
Been Drunk,Daily,10th Grade,1991,0.2,,
Been Drunk,Daily,10th Grade,1992,0.3,,
Been Drunk,Daily,10th Grade,1993,0.4,,
Been Drunk,Daily,10th Grade,1994,0.4,,
Been Drunk,Daily,10th Grade,1995,0.6,,
Been Drunk,Daily,10th Grade,1996,0.4,,
Been Drunk,Daily,10th Grade,1997,0.6,,
Been Drunk,Daily,10th Grade,1998,0.6,,
Been Drunk,Daily,10th Grade,1999,0.7,,
Been Drunk,Daily,10th Grade,2000,0.5,,
Been Drunk,Daily,10th Grade,2001,0.6,,
Been Drunk,Daily,10th Grade,2002,0.5,,
Been Drunk,Daily,10th Grade,2003,0.5,,
Been Drunk,Daily,10th Grade,2004,0.4,,
Been Drunk,Daily,10th Grade,2005,0.4,,
Been Drunk,Daily,10th Grade,2006,0.5,,
Been Drunk,Daily,10th Grade,2007,0.5,,
Been Drunk,Daily,10th Grade,2008,0.3,,
Been Drunk,Daily,10th Grade,2009,0.4,,
Been Drunk,Daily,10th Grade,2010,0.3,,
Been Drunk,Daily,10th Grade,2011,0.2,,
Been Drunk,Daily,10th Grade,2012,0.4,,
Been Drunk,Daily,10th Grade,2013,0.3,,
Been Drunk,Daily,10th Grade,2014,0.3,,
Been Drunk,Daily,10th Grade,2015,0.1,,
Been Drunk,Daily,10th Grade,2016,0.1,,
Been Drunk,Daily,10th Grade,2017,0.2,,
Been Drunk,Daily,10th Grade,2018,0.2,,
Been Drunk,Daily,10th Grade,2019,0.2,,
Been Drunk,Daily,10th Grade,2020,0.3,,
Been Drunk,Daily,10th Grade,2021,0.1,,
Been Drunk,Daily,10th Grade,2022,0.2,,
Been Drunk,Daily,10th Grade,2023,0.2,,
Been Drunk,Daily,10th Grade,2024,0.2,,
Been Drunk,Daily,12th Grade,1991,0.9,,
Been Drunk,Daily,12th Grade,1992,0.8,,
Been Drunk,Daily,12th Grade,1993,0.9,,
Been Drunk,Daily,12th Grade,1994,1.2,,
Been Drunk,Daily,12th Grade,1995,1.3,,
Been Drunk,Daily,12th Grade,1996,1.6,,
Been Drunk,Daily,12th Grade,1997,2,,
Been Drunk,Daily,12th Grade,1998,1.5,,
Been Drunk,Daily,12th Grade,1999,1.9,,
Been Drunk,Daily,12th Grade,2000,1.7,,
Been Drunk,Daily,12th Grade,2001,1.4,,
Been Drunk,Daily,12th Grade,2002,1.2,,
Been Drunk,Daily,12th Grade,2003,1.6,,
Been Drunk,Daily,12th Grade,2004,1.8,,
Been Drunk,Daily,12th Grade,2005,1.5,,
Been Drunk,Daily,12th Grade,2006,1.6,,
Been Drunk,Daily,12th Grade,2007,1.3,,
Been Drunk,Daily,12th Grade,2008,1.4,,
Been Drunk,Daily,12th Grade,2009,1.1,,
Been Drunk,Daily,12th Grade,2010,1.6,,
Been Drunk,Daily,12th Grade,2011,1.3,,
Been Drunk,Daily,12th Grade,2012,1.5,,
Been Drunk,Daily,12th Grade,2013,1.3,,
Been Drunk,Daily,12th Grade,2014,1.1,,
Been Drunk,Daily,12th Grade,2015,0.8,,
Been Drunk,Daily,12th Grade,2016,0.8,,
Been Drunk,Daily,12th Grade,2017,1.1,,
Been Drunk,Daily,12th Grade,2018,0.7,,
Been Drunk,Daily,12th Grade,2019,1.1,,
Been Drunk,Daily,12th Grade,2020,0.8,,
Been Drunk,Daily,12th Grade,2021,0.4,,
Been Drunk,Daily,12th Grade,2022,0.8,,
Been Drunk,Daily,12th Grade,2023,0.5,,
Been Drunk,Daily,12th Grade,2024,0.7,,
Been Drunk,Daily,8th Grade,1991,0.1,,
Been Drunk,Daily,8th Grade,1992,0.1,,
Been Drunk,Daily,8th Grade,1993,0.2,,
Been Drunk,Daily,8th Grade,1994,0.3,,
Been Drunk,Daily,8th Grade,1995,0.2,,
Been Drunk,Daily,8th Grade,1996,0.2,,
Been Drunk,Daily,8th Grade,1997,0.2,,
Been Drunk,Daily,8th Grade,1998,0.3,,
Been Drunk,Daily,8th Grade,1999,0.4,,
Been Drunk,Daily,8th Grade,2000,0.3,,
Been Drunk,Daily,8th Grade,2001,0.2,,
Been Drunk,Daily,8th Grade,2002,0.3,,
Been Drunk,Daily,8th Grade,2003,0.2,,
Been Drunk,Daily,8th Grade,2004,0.2,,
Been Drunk,Daily,8th Grade,2005,0.2,,
Been Drunk,Daily,8th Grade,2006,0.2,,
Been Drunk,Daily,8th Grade,2007,0.2,,
Been Drunk,Daily,8th Grade,2008,0.2,,
Been Drunk,Daily,8th Grade,2009,0.2,,
Been Drunk,Daily,8th Grade,2010,0.2,,
Been Drunk,Daily,8th Grade,2011,0.1,,
Been Drunk,Daily,8th Grade,2012,0.1,,
Been Drunk,Daily,8th Grade,2013,0.1,,
Been Drunk,Daily,8th Grade,2014,0.1,,
Been Drunk,Daily,8th Grade,2015,0.1,,
Been Drunk,Daily,8th Grade,2016,0,,
Been Drunk,Daily,8th Grade,2017,0,,
Been Drunk,Daily,8th Grade,2018,0,,
Been Drunk,Daily,8th Grade,2019,0.1,,
Been Drunk,Daily,8th Grade,2020,0.2,,
Been Drunk,Daily,8th Grade,2021,0.1,,
Been Drunk,Daily,8th Grade,2022,0,,
Been Drunk,Daily,8th Grade,2023,0.1,,
Been Drunk,Daily,8th Grade,2024,0.1,,
Been Drunk,Lifetime,10th Grade,1991,50,,
Been Drunk,Lifetime,10th Grade,1992,47.7,,
Been Drunk,Lifetime,10th Grade,1993,47.9,,
Been Drunk,Lifetime,10th Grade,1994,47.2,,
Been Drunk,Lifetime,10th Grade,1995,46.9,,
Been Drunk,Lifetime,10th Grade,1996,48.5,,
Been Drunk,Lifetime,10th Grade,1997,49.4,,
Been Drunk,Lifetime,10th Grade,1998,46.7,,
Been Drunk,Lifetime,10th Grade,1999,48.9,,
Been Drunk,Lifetime,10th Grade,2000,49.3,,
Been Drunk,Lifetime,10th Grade,2001,48.2,,
Been Drunk,Lifetime,10th Grade,2002,44,,
Been Drunk,Lifetime,10th Grade,2003,42.4,,
Been Drunk,Lifetime,10th Grade,2004,42.3,,
Been Drunk,Lifetime,10th Grade,2005,42.1,,
Been Drunk,Lifetime,10th Grade,2006,41.4,,
Been Drunk,Lifetime,10th Grade,2007,41.2,,
Been Drunk,Lifetime,10th Grade,2008,37.2,,
Been Drunk,Lifetime,10th Grade,2009,38.6,,
Been Drunk,Lifetime,10th Grade,2010,36.9,,
Been Drunk,Lifetime,10th Grade,2011,35.9,,
Been Drunk,Lifetime,10th Grade,2012,34.6,,
Been Drunk,Lifetime,10th Grade,2013,33.5,,
Been Drunk,Lifetime,10th Grade,2014,30.2,,
Been Drunk,Lifetime,10th Grade,2015,28.6,,
Been Drunk,Lifetime,10th Grade,2016,26,,
Been Drunk,Lifetime,10th Grade,2017,25.1,,
Been Drunk,Lifetime,10th Grade,2018,26.2,,
Been Drunk,Lifetime,10th Grade,2019,25.5,,
Been Drunk,Lifetime,10th Grade,2020,28.8,,
Been Drunk,Lifetime,10th Grade,2021,17.8,,
Been Drunk,Lifetime,10th Grade,2022,19.8,,
Been Drunk,Lifetime,10th Grade,2023,17.6,,
Been Drunk,Lifetime,10th Grade,2024,15.3,,
Been Drunk,Lifetime,12th Grade,1991,65.4,,
Been Drunk,Lifetime,12th Grade,1992,63.4,,
Been Drunk,Lifetime,12th Grade,1993,62.5,,
Been Drunk,Lifetime,12th Grade,1994,62.9,,
Been Drunk,Lifetime,12th Grade,1995,63.2,,
Been Drunk,Lifetime,12th Grade,1996,61.8,,
Been Drunk,Lifetime,12th Grade,1997,64.2,,
Been Drunk,Lifetime,12th Grade,1998,62.4,,
Been Drunk,Lifetime,12th Grade,1999,62.3,,
Been Drunk,Lifetime,12th Grade,2000,62.3,,
Been Drunk,Lifetime,12th Grade,2001,63.9,,
Been Drunk,Lifetime,12th Grade,2002,61.6,,
Been Drunk,Lifetime,12th Grade,2003,58.1,,
Been Drunk,Lifetime,12th Grade,2004,60.3,,
Been Drunk,Lifetime,12th Grade,2005,57.5,,
Been Drunk,Lifetime,12th Grade,2006,56.4,,
Been Drunk,Lifetime,12th Grade,2007,55.1,,
Been Drunk,Lifetime,12th Grade,2008,54.7,,
Been Drunk,Lifetime,12th Grade,2009,56.5,,
Been Drunk,Lifetime,12th Grade,2010,54.1,,
Been Drunk,Lifetime,12th Grade,2011,51,,
Been Drunk,Lifetime,12th Grade,2012,54.2,,
Been Drunk,Lifetime,12th Grade,2013,52.3,,
Been Drunk,Lifetime,12th Grade,2014,49.8,,
Been Drunk,Lifetime,12th Grade,2015,46.7,,
Been Drunk,Lifetime,12th Grade,2016,46.3,,
Been Drunk,Lifetime,12th Grade,2017,45.3,,
Been Drunk,Lifetime,12th Grade,2018,42.9,,
Been Drunk,Lifetime,12th Grade,2019,40.8,,
Been Drunk,Lifetime,12th Grade,2020,41.7,,
Been Drunk,Lifetime,12th Grade,2021,38.9,,
Been Drunk,Lifetime,12th Grade,2022,36.7,,
Been Drunk,Lifetime,12th Grade,2023,32.7,,
Been Drunk,Lifetime,12th Grade,2024,33.2,,
Been Drunk,Lifetime,8th Grade,1991,26.7,,
Been Drunk,Lifetime,8th Grade,1992,26.8,,
Been Drunk,Lifetime,8th Grade,1993,26.4,,
Been Drunk,Lifetime,8th Grade,1994,25.9,,
Been Drunk,Lifetime,8th Grade,1995,25.3,,
Been Drunk,Lifetime,8th Grade,1996,26.8,,
Been Drunk,Lifetime,8th Grade,1997,25.2,,
Been Drunk,Lifetime,8th Grade,1998,24.8,,
Been Drunk,Lifetime,8th Grade,1999,24.8,,
Been Drunk,Lifetime,8th Grade,2000,25.1,,
Been Drunk,Lifetime,8th Grade,2001,23.4,,
Been Drunk,Lifetime,8th Grade,2002,21.3,,
Been Drunk,Lifetime,8th Grade,2003,20.3,,
Been Drunk,Lifetime,8th Grade,2004,19.9,,
Been Drunk,Lifetime,8th Grade,2005,19.5,,
Been Drunk,Lifetime,8th Grade,2006,19.5,,
Been Drunk,Lifetime,8th Grade,2007,17.9,,
Been Drunk,Lifetime,8th Grade,2008,18,,
Been Drunk,Lifetime,8th Grade,2009,17.4,,
Been Drunk,Lifetime,8th Grade,2010,16.3,,
Been Drunk,Lifetime,8th Grade,2011,14.8,,
Been Drunk,Lifetime,8th Grade,2012,12.8,,
Been Drunk,Lifetime,8th Grade,2013,12.2,,
Been Drunk,Lifetime,8th Grade,2014,10.8,,
Been Drunk,Lifetime,8th Grade,2015,10.9,,
Been Drunk,Lifetime,8th Grade,2016,8.6,,
Been Drunk,Lifetime,8th Grade,2017,9.2,,
Been Drunk,Lifetime,8th Grade,2018,9.2,,
Been Drunk,Lifetime,8th Grade,2019,10.1,,
Been Drunk,Lifetime,8th Grade,2020,10.1,,
Been Drunk,Lifetime,8th Grade,2021,8.3,,
Been Drunk,Lifetime,8th Grade,2022,8,,
Been Drunk,Lifetime,8th Grade,2023,7.3,,
Been Drunk,Lifetime,8th Grade,2024,6.7,,
Beer,30 Day,10th Grade,1991,31.1,,
Beer,30 Day,10th Grade,1992,28.9,,
Beer,30 Day,10th Grade,1993,28.7,,
Beer,30 Day,10th Grade,1994,30.2,,
Beer,30 Day,10th Grade,1995,29.9,,
Beer,30 Day,10th Grade,1996,30.5,,
Beer,30 Day,10th Grade,1997,30.4,,
Beer,30 Day,10th Grade,1998,28.3,,
Beer,30 Day,10th Grade,1999,29.5,,
Beer,30 Day,10th Grade,2000,30.6,,
Beer,30 Day,10th Grade,2001,28,,
Beer,30 Day,10th Grade,2002,24.6,,
Beer,30 Day,10th Grade,2003,23.2,,
Beer,30 Day,10th Grade,2004,26.5,,
Beer,30 Day,10th Grade,2005,24.8,,
Beer,30 Day,10th Grade,2006,26.8,,
Beer,30 Day,10th Grade,2007,24.4,,
Beer,30 Day,10th Grade,2008,22.4,,
Beer,30 Day,10th Grade,2009,22.6,,
Beer,30 Day,10th Grade,2010,22.4,,
Beer,30 Day,10th Grade,2011,19.6,,
Beer,30 Day,10th Grade,2012,19.6,,
Beer,30 Day,10th Grade,2013,18.4,,
Beer,30 Day,10th Grade,2014,17.3,,
Beer,30 Day,10th Grade,2015,15.7,,
Beer,30 Day,10th Grade,2016,13,,
Beer,30 Day,10th Grade,2017,14,,
Beer,30 Day,10th Grade,2018,14.1,,
Beer,30 Day,10th Grade,2019,12.2,,
Beer,30 Day,10th Grade,2020,13.5,,
Beer,30 Day,10th Grade,2021,8.7,,
Beer,30 Day,10th Grade,2022,8.6,,
Beer,30 Day,10th Grade,2023,8.5,,
Beer,30 Day,10th Grade,2024,4.4,,
Beer,30 Day,12th Grade,1976,59.8,,
Beer,30 Day,12th Grade,1977,62.1,,
Beer,30 Day,12th Grade,1978,62.3,,
Beer,30 Day,12th Grade,1979,63.7,,
Beer,30 Day,12th Grade,1980,62.9,,
Beer,30 Day,12th Grade,1981,62.7,,
Beer,30 Day,12th Grade,1982,60.3,,
Beer,30 Day,12th Grade,1983,61.7,,
Beer,30 Day,12th Grade,1984,59.5,,
Beer,30 Day,12th Grade,1985,56.7,,
Beer,30 Day,12th Grade,1986,55.5,,
Beer,30 Day,12th Grade,1987,56.2,,
Beer,30 Day,12th Grade,1988,53.3,,
Beer,30 Day,12th Grade,1989,51.4,,
Beer,30 Day,12th Grade,1990,47.2,,
Beer,30 Day,12th Grade,1991,47.2,,
Beer,30 Day,12th Grade,1992,42,,
Beer,30 Day,12th Grade,1993,43.4,,
Beer,30 Day,12th Grade,1994,42.6,,
Beer,30 Day,12th Grade,1995,44.9,,
Beer,30 Day,12th Grade,1996,46.9,,
Beer,30 Day,12th Grade,1997,44.4,,
Beer,30 Day,12th Grade,1998,45.6,,
Beer,30 Day,12th Grade,1999,42.7,,
Beer,30 Day,12th Grade,2000,42.7,,
Beer,30 Day,12th Grade,2001,41.4,,
Beer,30 Day,12th Grade,2002,39.7,,
Beer,30 Day,12th Grade,2003,37.8,,
Beer,30 Day,12th Grade,2004,38.3,,
Beer,30 Day,12th Grade,2005,38,,
Beer,30 Day,12th Grade,2006,35.5,,
Beer,30 Day,12th Grade,2007,36.6,,
Beer,30 Day,12th Grade,2008,33.7,,
Beer,30 Day,12th Grade,2009,34.9,,
Beer,30 Day,12th Grade,2010,31.7,,
Beer,30 Day,12th Grade,2011,29,,
Beer,30 Day,12th Grade,2012,32.2,,
Beer,30 Day,12th Grade,2013,30.8,,
Beer,30 Day,12th Grade,2014,28.6,,
Beer,30 Day,12th Grade,2015,25.4,,
Beer,30 Day,12th Grade,2016,23.6,,
Beer,30 Day,12th Grade,2017,25.5,,
Beer,30 Day,12th Grade,2018,21.8,,
Beer,30 Day,12th Grade,2019,21.9,,
Beer,30 Day,12th Grade,2021,16.5,,
Beer,30 Day,12th Grade,2022,17.5,,
Beer,30 Day,12th Grade,2023,15.9,,
Beer,30 Day,12th Grade,2024,10.6,,
Beer,30 Day,8th Grade,1991,16.2,,
Beer,30 Day,8th Grade,1992,16.9,,
Beer,30 Day,8th Grade,1993,17.4,,
Beer,30 Day,8th Grade,1994,18.3,,
Beer,30 Day,8th Grade,1995,18.8,,
Beer,30 Day,8th Grade,1996,18.4,,
Beer,30 Day,8th Grade,1997,16.6,,
Beer,30 Day,8th Grade,1998,16.2,,
Beer,30 Day,8th Grade,1999,16.6,,
Beer,30 Day,8th Grade,2000,15.2,,
Beer,30 Day,8th Grade,2001,15,,
Beer,30 Day,8th Grade,2002,12.3,,
Beer,30 Day,8th Grade,2003,12,,
Beer,30 Day,8th Grade,2004,14.4,,
Beer,30 Day,8th Grade,2005,12.8,,
Beer,30 Day,8th Grade,2006,12.5,,
Beer,30 Day,8th Grade,2007,12.2,,
Beer,30 Day,8th Grade,2008,11.8,,
Beer,30 Day,8th Grade,2009,10,,
Beer,30 Day,8th Grade,2010,10.6,,
Beer,30 Day,8th Grade,2011,9.8,,
Beer,30 Day,8th Grade,2012,7.9,,
Beer,30 Day,8th Grade,2013,6.8,,
Beer,30 Day,8th Grade,2014,6.3,,
Beer,30 Day,8th Grade,2015,7.3,,
Beer,30 Day,8th Grade,2016,4.7,,
Beer,30 Day,8th Grade,2017,5.7,,
Beer,30 Day,8th Grade,2018,6.8,,
Beer,30 Day,8th Grade,2019,5.8,,
Beer,30 Day,8th Grade,2020,8.4,,
Beer,30 Day,8th Grade,2021,5.2,,
Beer,30 Day,8th Grade,2022,3.9,,
Beer,30 Day,8th Grade,2023,3.4,,
Beer,30 Day,8th Grade,2024,2,,
Beer,5+ Drinks,10th Grade,1991,16.4,,
Beer,5+ Drinks,10th Grade,1992,15.1,,
Beer,5+ Drinks,10th Grade,1993,16.1,,
Beer,5+ Drinks,10th Grade,1994,17,,
Beer,5+ Drinks,10th Grade,1995,17.1,,
Beer,5+ Drinks,10th Grade,1996,17.9,,
Beer,5+ Drinks,10th Grade,1997,17.5,,
Beer,5+ Drinks,10th Grade,1998,16,,
Beer,5+ Drinks,10th Grade,1999,18.1,,
Beer,5+ Drinks,10th Grade,2000,17.5,,
Beer,5+ Drinks,10th Grade,2001,16.3,,
Beer,5+ Drinks,10th Grade,2002,14.1,,
Beer,5+ Drinks,10th Grade,2003,13.8,,
Beer,5+ Drinks,10th Grade,2004,13.6,,
Beer,5+ Drinks,10th Grade,2005,13.1,,
Beer,5+ Drinks,10th Grade,2006,14.5,,
Beer,5+ Drinks,10th Grade,2007,13.7,,
Beer,5+ Drinks,10th Grade,2008,10.8,,
Beer,5+ Drinks,10th Grade,2009,11.3,,
Beer,5+ Drinks,10th Grade,2010,10.9,,
Beer,5+ Drinks,10th Grade,2011,10.3,,
Beer,5+ Drinks,10th Grade,2012,10.4,,
Beer,5+ Drinks,10th Grade,2013,9.1,,
Beer,5+ Drinks,10th Grade,2014,8.2,,
Beer,5+ Drinks,10th Grade,2015,7.4,,
Beer,5+ Drinks,10th Grade,2016,5.6,,
Beer,5+ Drinks,10th Grade,2017,6.4,,
Beer,5+ Drinks,10th Grade,2018,6.8,,
Beer,5+ Drinks,10th Grade,2019,5.4,,
Beer,5+ Drinks,10th Grade,2020,6.1,,
Beer,5+ Drinks,10th Grade,2021,3.9,,
Beer,5+ Drinks,12th Grade,1976,33,,
Beer,5+ Drinks,12th Grade,1977,35.1,,
Beer,5+ Drinks,12th Grade,1978,35.4,,
Beer,5+ Drinks,12th Grade,1979,36.4,,
Beer,5+ Drinks,12th Grade,1980,36.6,,
Beer,5+ Drinks,12th Grade,1981,38,,
Beer,5+ Drinks,12th Grade,1982,37.6,,
Beer,5+ Drinks,12th Grade,1983,38.1,,
Beer,5+ Drinks,12th Grade,1984,36.2,,
Beer,5+ Drinks,12th Grade,1985,32,,
Beer,5+ Drinks,12th Grade,1986,33.1,,
Beer,5+ Drinks,12th Grade,1987,33.8,,
Beer,5+ Drinks,12th Grade,1988,31,,
Beer,5+ Drinks,12th Grade,1989,31.3,,
Beer,5+ Drinks,12th Grade,1990,27,,
Beer,5+ Drinks,12th Grade,1991,28.5,,
Beer,5+ Drinks,12th Grade,1992,25.4,,
Beer,5+ Drinks,12th Grade,1993,25.5,,
Beer,5+ Drinks,12th Grade,1994,24.5,,
Beer,5+ Drinks,12th Grade,1995,27.6,,
Beer,5+ Drinks,12th Grade,1996,29.2,,
Beer,5+ Drinks,12th Grade,1997,26.7,,
Beer,5+ Drinks,12th Grade,1998,28.5,,
Beer,5+ Drinks,12th Grade,1999,25.6,,
Beer,5+ Drinks,12th Grade,2000,27.5,,
Beer,5+ Drinks,12th Grade,2001,26.7,,
Beer,5+ Drinks,12th Grade,2002,26.1,,
Beer,5+ Drinks,12th Grade,2003,21.4,,
Beer,5+ Drinks,12th Grade,2004,23.7,,
Beer,5+ Drinks,12th Grade,2005,22.4,,
Beer,5+ Drinks,12th Grade,2006,21.4,,
Beer,5+ Drinks,12th Grade,2007,22,,
Beer,5+ Drinks,12th Grade,2008,20.9,,
Beer,5+ Drinks,12th Grade,2009,20.8,,
Beer,5+ Drinks,12th Grade,2010,19.5,,
Beer,5+ Drinks,12th Grade,2011,16.8,,
Beer,5+ Drinks,12th Grade,2012,18.8,,
Beer,5+ Drinks,12th Grade,2013,17.3,,
Beer,5+ Drinks,12th Grade,2014,16.8,,
Beer,5+ Drinks,12th Grade,2015,13.6,,
Beer,5+ Drinks,12th Grade,2016,11.5,,
Beer,5+ Drinks,12th Grade,2017,14.7,,
Beer,5+ Drinks,12th Grade,2018,11.2,,
Beer,5+ Drinks,12th Grade,2019,11.5,,
Beer,5+ Drinks,12th Grade,2021,8.8,,
Beer,5+ Drinks,8th Grade,1991,7.2,,
Beer,5+ Drinks,8th Grade,1992,7.3,,
Beer,5+ Drinks,8th Grade,1993,8.2,,
Beer,5+ Drinks,8th Grade,1994,8.5,,
Beer,5+ Drinks,8th Grade,1995,8.5,,
Beer,5+ Drinks,8th Grade,1996,9.2,,
Beer,5+ Drinks,8th Grade,1997,7.6,,
Beer,5+ Drinks,8th Grade,1998,8,,
Beer,5+ Drinks,8th Grade,1999,8.3,,
Beer,5+ Drinks,8th Grade,2000,7.5,,
Beer,5+ Drinks,8th Grade,2001,8.1,,
Beer,5+ Drinks,8th Grade,2002,6.1,,
Beer,5+ Drinks,8th Grade,2003,5.5,,
Beer,5+ Drinks,8th Grade,2004,6.8,,
Beer,5+ Drinks,8th Grade,2005,5.8,,
Beer,5+ Drinks,8th Grade,2006,5.5,,
Beer,5+ Drinks,8th Grade,2007,5.4,,
Beer,5+ Drinks,8th Grade,2008,5.1,,
Beer,5+ Drinks,8th Grade,2009,4.9,,
Beer,5+ Drinks,8th Grade,2010,4.8,,
Beer,5+ Drinks,8th Grade,2011,4.3,,
Beer,5+ Drinks,8th Grade,2012,3.5,,
Beer,5+ Drinks,8th Grade,2013,3,,
Beer,5+ Drinks,8th Grade,2014,2.5,,
Beer,5+ Drinks,8th Grade,2015,2.5,,
Beer,5+ Drinks,8th Grade,2016,2,,
Beer,5+ Drinks,8th Grade,2017,2.6,,
Beer,5+ Drinks,8th Grade,2018,2.9,,
Beer,5+ Drinks,8th Grade,2019,2.5,,
Beer,5+ Drinks,8th Grade,2020,3.2,,
Beer,5+ Drinks,8th Grade,2021,1.9,,
Beer,12 Month,10th Grade,1991,55,,
Beer,12 Month,10th Grade,1992,52.7,,
Beer,12 Month,10th Grade,1993,50.3,,
Beer,12 Month,10th Grade,1994,50.6,,
Beer,12 Month,10th Grade,1995,51.2,,
Beer,12 Month,10th Grade,1996,53.2,,
Beer,12 Month,10th Grade,1997,52.3,,
Beer,12 Month,10th Grade,1998,47.9,,
Beer,12 Month,10th Grade,1999,49.6,,
Beer,12 Month,10th Grade,2000,51.4,,
Beer,12 Month,10th Grade,2001,48.5,,
Beer,12 Month,10th Grade,2002,43.4,,
Beer,12 Month,10th Grade,2003,41.7,,
Beer,12 Month,10th Grade,2004,47,,
Beer,12 Month,10th Grade,2005,45.8,,
Beer,12 Month,10th Grade,2006,46.1,,
Beer,12 Month,10th Grade,2007,43.8,,
Beer,12 Month,10th Grade,2008,41.8,,
Beer,12 Month,10th Grade,2009,42.3,,
Beer,12 Month,10th Grade,2010,41.7,,
Beer,12 Month,10th Grade,2011,39.3,,
Beer,12 Month,10th Grade,2012,37.7,,
Beer,12 Month,10th Grade,2013,37.1,,
Beer,12 Month,10th Grade,2014,34.8,,
Beer,12 Month,10th Grade,2015,33.2,,
Beer,12 Month,10th Grade,2016,27.6,,
Beer,12 Month,10th Grade,2017,29.2,,
Beer,12 Month,10th Grade,2018,29.9,,
Beer,12 Month,10th Grade,2019,27.2,,
Beer,12 Month,10th Grade,2020,30.8,,
Beer,12 Month,10th Grade,2021,19.4,,
Beer,12 Month,10th Grade,2022,20.8,,
Beer,12 Month,10th Grade,2023,19.3,,
Beer,12 Month,10th Grade,2024,11.5,,
Beer,12 Month,12th Grade,1976,75.2,,
Beer,12 Month,12th Grade,1977,77,,
Beer,12 Month,12th Grade,1978,77,,
Beer,12 Month,12th Grade,1979,79.3,,
Beer,12 Month,12th Grade,1980,78.2,,
Beer,12 Month,12th Grade,1981,78,,
Beer,12 Month,12th Grade,1982,76.4,,
Beer,12 Month,12th Grade,1983,78.4,,
Beer,12 Month,12th Grade,1984,76.7,,
Beer,12 Month,12th Grade,1985,74.5,,
Beer,12 Month,12th Grade,1986,74,,
Beer,12 Month,12th Grade,1987,75.2,,
Beer,12 Month,12th Grade,1988,73.1,,
Beer,12 Month,12th Grade,1989,69.7,,
Beer,12 Month,12th Grade,1990,68.7,,
Beer,12 Month,12th Grade,1991,65.9,,
Beer,12 Month,12th Grade,1992,62.9,,
Beer,12 Month,12th Grade,1993,63.9,,
Beer,12 Month,12th Grade,1994,62.1,,
Beer,12 Month,12th Grade,1995,64.8,,
Beer,12 Month,12th Grade,1996,66.8,,
Beer,12 Month,12th Grade,1997,64.4,,
Beer,12 Month,12th Grade,1998,65,,
Beer,12 Month,12th Grade,1999,63.4,,
Beer,12 Month,12th Grade,2000,62.3,,
